Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ARBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.088232925600039,14,78.57142857142857,34,34,6,1,True,56,4
ARBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-12.637848564399977,14,78.57142857142857,18,36,8,1,True,54,4
ARBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.8383857903999647,9,55.55555555555556,36,66,9,1,True,46,2
ARBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-2.461504617200061,12,66.66666666666666,24,8,11,1,True,78,5
ARBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.612722686000065,12,91.66666666666666,12,42,7,5,True,58,3
ARBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-17.66257597680002,2,50.0,20,64,2,1,True,60,6
ARBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.724831847600016,14,64.28571428571429,38,62,7,1,True,24,3
ARBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-22.98830038400006,16,75.0,32,44,8,1,False,66,4
ARBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.214878742399983,14,78.57142857142857,16,70,6,1,False,78,5
ARBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.0952752007999296,19,57.89473684210527,16,56,6,1,False,30,3
ARBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.652071593200021,23,65.21739130434783,10,78,4,2,False,68,7
ARBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.195125448800008,51,74.50980392156863,8,22,9,1,True,36,4
ARBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,24,56,4,10,True,28,1
ARBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.6200419456000925,55,63.63636363636363,8,28,6,11,False,82,8
ARBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.4677974052000025,5,100.0,4,70,5,5,True,54,3
ARBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.630946424000016,12,25.0,8,36,11,9,True,40,5
ARBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5603295432000222,4,100.0,4,52,8,10,False,40,6
ARBUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,12,68,8,11,True,66,1
ARBUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,28,26,6,5,True,24,1
ARBUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,4,40,10,5,True,52,1
ARBUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.2698332599999862,1,100.0,4,48,10,7,True,54,2
ARBUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.30324722719998753,3,66.66666666666666,4,78,6,2,True,44,6
ARBUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.554068781199994,33,72.72727272727273,18,20,10,4,True,52,4
ARBUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.168523771600022,2,100.0,36,66,10,2,True,58,4
