Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ARBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.44699770319999,4,75.0,8,18,8,1,True,66,2
ARBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.941855688399997,4,50.0,30,68,1,6,True,50,2
ARBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.991543486799996,11,63.63636363636363,14,26,10,8,False,62,2
ARBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-4.4267953760000145,1,0.0,36,62,3,6,True,58,2
ARBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.8997173912000065,2,50.0,10,12,6,3,True,72,3
ARBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.400701741200011,4,0.0,30,28,10,9,False,26,2
ARBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.11737558520003022,14,71.42857142857143,12,50,2,1,False,56,3
ARBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.25494098559999,3,66.66666666666666,12,56,7,8,True,36,2
ARBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.196777380399962,4,25.0,18,48,9,1,False,46,3
ARBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.5501473276000155,6,83.33333333333334,16,46,8,1,True,46,7
ARBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.5268724712000044,3,100.0,26,46,11,5,False,76,2
ARBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.6348762272000208,3,66.66666666666666,16,62,6,1,True,48,7
ARBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.4821179943999665,3,66.66666666666666,30,72,5,5,True,46,8
ARBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.1544007328,3,66.66666666666666,24,64,6,1,False,54,5
ARBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.484163000000005,1,0.0,24,76,7,10,False,50,4
ARBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-8.493313632799982,5,60.0,12,54,2,2,True,48,7
ARBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,18,50,1,11,False,42,1
ARBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,10,62,10,7,False,68,1
ARBUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,34,70,7,7,False,68,1
ARBUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.249070407999987,2,50.0,10,66,6,3,True,40,4
ARBUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.3155052111999854,3,100.0,38,44,9,9,True,34,7
ARBUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.516337217600009,11,54.54545454545454,26,26,3,7,True,38,2
ARBUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,3.139735885199957,15,60.0,4,14,11,10,False,26,2
ARBUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.422404262800011,3,66.66666666666666,28,76,1,7,True,58,2
