Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ATOMUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.899926487999942,12,66.66666666666666,20,46,2,1,True,58,3
ATOMUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.732390059999959,16,75.0,12,46,6,1,True,52,3
ATOMUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.31147021600002045,2,50.0,18,58,10,2,True,58,4
ATOMUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.939576311999992,7,71.42857142857143,22,76,6,2,True,56,4
ATOMUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,15.03585650799999,11,90.9090909090909,28,58,10,2,True,52,3
ATOMUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.39204550799998,5,60.0,4,40,1,6,True,60,3
ATOMUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.09957868400004566,16,81.25,30,44,8,1,True,50,3
ATOMUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.4562782440000035,20,65.0,28,74,5,1,False,42,2
ATOMUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.6490786280001446,24,66.66666666666666,28,38,8,1,False,34,2
ATOMUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.3491900279999349,18,66.66666666666666,22,68,6,2,False,56,2
ATOMUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,4.853930779999938,21,71.42857142857143,24,54,7,1,False,40,2
ATOMUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-9.049826612000068,33,69.6969696969697,38,28,5,1,True,32,3
ATOMUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.16226074800000934,17,58.82352941176471,26,48,8,7,False,56,4
ATOMUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.2743563040000625,19,52.63157894736842,22,78,4,7,False,36,3
ATOMUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.5831484320000477,18,61.111111111111114,30,54,8,8,False,82,3
ATOMUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.6146908599999907,6,50.0,12,78,8,8,True,42,2
ATOMUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9052802039999808,5,80.0,4,44,9,8,False,70,3
ATOMUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6569183800000156,3,100.0,4,60,8,1,False,24,5
ATOMUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.11615306399999081,2,100.0,6,74,8,1,False,60,3
ATOMUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.52172047200001,1,0.0,4,56,11,10,True,40,2
ATOMUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.7664479799999855,6,83.33333333333334,34,68,10,3,False,32,2
ATOMUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.1794771159999726,7,85.71428571428571,32,78,10,1,False,84,5
ATOMUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.5344388160000166,11,72.72727272727273,30,68,8,1,False,26,6
ATOMUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.09077124399997,13,69.23076923076923,28,74,6,1,True,44,3
