Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ATOMUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.365962944000048,15,73.33333333333333,38,24,4,1,False,26,2
ATOMUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.30564190000003,3,33.33333333333333,10,20,2,1,True,62,2
ATOMUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.0302121120000063,4,75.0,30,18,8,2,True,64,2
ATOMUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.623707851999967,10,90.0,36,30,5,4,False,54,2
ATOMUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,17.0773737,16,87.5,6,30,4,4,True,56,2
ATOMUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.3077215279999823,7,57.14285714285714,38,66,2,7,False,84,2
ATOMUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-8.392763123999991,7,57.14285714285714,8,24,3,4,True,58,2
ATOMUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-11.003724319999996,2,50.0,36,62,5,3,False,42,2
ATOMUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.2124144119999958,17,47.05882352941176,6,18,8,10,False,42,2
ATOMUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.9063235120000512,16,56.25,4,54,2,1,False,74,2
ATOMUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.8795950319999912,7,57.14285714285714,4,26,8,11,False,24,2
ATOMUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.2890567280000496,13,53.84615384615385,4,26,7,8,False,46,3
ATOMUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,8,66,10,3,True,30,3
ATOMUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.7568679919999886,1,0.0,8,76,9,5,False,76,3
ATOMUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,22,72,3,1,False,30,1
ATOMUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,28,36,3,2,False,84,1
ATOMUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-1.5987597599999903,1,0.0,32,42,10,10,True,34,1
ATOMUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,26,32,9,8,True,30,1
ATOMUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,4,72,11,6,False,38,1
ATOMUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.23529585200001701,5,40.0,32,36,8,7,True,38,2
ATOMUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.1013274240000213,9,77.77777777777779,30,14,10,1,True,28,3
ATOMUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.7548002159999863,6,66.66666666666666,26,48,7,1,True,30,2
ATOMUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.4938440959999966,7,57.14285714285714,10,44,7,5,False,30,2
ATOMUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.105525271999973,11,81.81818181818183,8,76,1,7,True,54,2
