Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
AVAXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.991509432000004,2,50.0,33,36,1,1,True,62,2
AVAXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-16.34643794799998,5,40.0,37,36,3,1,False,38,2
AVAXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.7972847880000087,11,72.72727272727273,39,36,1,1,True,42,2
AVAXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-9.476324216000009,1,0.0,37,48,1,2,True,58,2
AVAXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.162195284000019,16,87.5,27,52,1,3,False,74,2
AVAXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,12.357802723999999,10,90.0,37,26,4,1,True,36,2
AVAXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.404729396000038,5,60.0,23,22,11,1,True,52,2
AVAXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.476001752000016,1,0.0,15,40,9,1,True,56,2
AVAXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.4982418080000217,9,55.55555555555556,29,48,1,1,True,26,3
AVAXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.22108784000000048,8,62.5,33,30,6,1,False,60,2
AVAXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.43437400400001547,10,60.0,37,24,7,8,True,44,2
AVAXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.6132352400000336,6,33.33333333333333,19,36,10,2,False,62,4
AVAXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6840439840000379,4,75.0,19,38,9,10,False,72,4
AVAXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.04603626799999372,7,57.14285714285714,23,46,5,11,False,46,2
AVAXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-6.423163987999992,4,0.0,23,42,9,1,False,76,2
AVAXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.978601867999986,9,55.55555555555556,27,30,11,1,False,76,2
AVAXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.4294678560000014,1,0.0,39,48,7,11,True,82,9
AVAXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,31,54,10,4,True,52,4
AVAXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.262904231999995,6,83.33333333333334,29,30,11,1,False,74,2
AVAXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.17980646000003153,4,50.0,35,34,11,1,False,46,2
AVAXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.387786147999992,3,66.66666666666666,33,44,9,1,False,28,4
AVAXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-11.02628714799999,9,55.55555555555556,29,20,7,1,False,84,2
AVAXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,9.676850047999984,21,66.66666666666666,12,24,2,2,False,74,2
AVAXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.609939484000044,38,81.57894736842105,36,4,2,1,False,68,2
