Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
AVAXUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.533405016000002,3,33.33333333333333,25,52,4,6,True,60,2
AVAXUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.497395184000011,3,33.33333333333333,17,26,2,4,True,68,2
AVAXUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.5760401760000367,5,40.0,27,46,6,2,True,58,2
AVAXUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-6.785174839999996,3,66.66666666666666,15,24,8,1,True,66,2
AVAXUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.786412064000036,3,66.66666666666666,33,40,7,6,True,62,2
AVAXUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,12.932552312000102,20,80.0,29,28,7,1,False,76,3
AVAXUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-9.151510572000044,14,42.857142857142854,31,26,6,3,False,72,2
AVAXUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.85790977999997,13,69.23076923076923,27,50,4,1,True,32,2
AVAXUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-6.285069596000026,6,50.0,37,40,9,1,False,74,3
AVAXUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.945817731999991,16,62.5,39,28,5,2,False,32,2
AVAXUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.11371290399997402,24,70.83333333333334,39,40,2,2,True,48,2
AVAXUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.0616217479999968,11,63.63636363636363,31,32,5,3,True,48,6
AVAXUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.9386976359999872,1,0.0,39,44,2,9,True,76,9
AVAXUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.25059636799997786,1,0.0,33,54,5,11,True,70,8
AVAXUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.215929543999982,5,60.0,17,32,10,9,True,62,9
AVAXUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.16507292799997,2,0.0,33,32,8,5,True,64,9
AVAXUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.5455678560000203,1,0.0,19,50,11,10,True,78,9
AVAXUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.2657356480000113,2,0.0,31,20,1,8,True,74,8
AVAXUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.13497544399998507,15,73.33333333333333,31,42,4,5,False,24,8
AVAXUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.19993989200004503,17,70.58823529411765,27,38,6,4,False,50,6
AVAXUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,6.632211092000007,21,76.19047619047619,29,40,4,5,False,78,2
AVAXUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.9436904400000445,20,55.00000000000001,29,30,6,4,False,28,2
AVAXUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,8.662434215999948,33,78.78787878787878,22,36,1,1,True,42,2
AVAXUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,15.52837857600018,49,83.6734693877551,16,28,2,1,True,38,2
