Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
BNBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.92833392000005,12,66.66666666666666,15,30,8,1,True,52,2
BNBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.617828120000008,20,75.0,39,44,2,1,True,40,2
BNBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.467749439999988,16,68.75,39,28,5,1,False,36,2
BNBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,11.491592439999998,8,100.0,17,32,2,5,True,64,2
BNBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,25.03348876,7,85.71428571428571,31,36,1,5,True,64,2
BNBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.615267439999978,3,66.66666666666666,15,22,9,4,True,70,2
BNBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.1515850000000114,25,72.0,31,30,3,1,False,78,2
BNBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.3595498800000216,3,66.66666666666666,29,42,5,1,True,62,3
BNBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.6132083199999916,6,66.66666666666666,31,50,2,4,True,58,2
BNBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.449302199999969,7,57.14285714285714,35,44,9,1,True,46,2
BNBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.07885920000002544,6,83.33333333333334,31,54,2,3,True,54,2
BNBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-11.614755320000004,2,0.0,19,40,10,3,True,58,2
BNBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-3.0361780399999816,4,25.0,39,40,10,1,True,26,3
BNBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-10.957209999999995,3,33.33333333333333,31,50,11,1,True,48,2
BNBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.2840100000000012,1,0.0,19,40,6,9,True,82,7
BNBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.7918537999999327,8,62.5,15,42,10,1,True,38,6
BNBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0760405599999912,1,0.0,37,54,3,9,True,80,9
BNBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.4443275200000105,1,0.0,27,38,9,9,True,72,5
BNBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.473485920000006,1,0.0,25,40,8,5,True,68,9
BNBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.46872235999997347,2,50.0,21,44,8,8,True,60,9
BNBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.94613079999999,3,100.0,37,22,8,2,True,68,9
BNBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.6375240799999653,4,75.0,31,50,3,7,True,58,2
BNBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,13.618766040000008,16,81.25,6,8,11,4,True,74,1
BNBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.683251999999978,6,83.33333333333334,12,44,7,2,True,58,2
