Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
BTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,29,48,9,10,True,48,6
BTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,37,44,9,11,False,74,7
BTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,31,46,8,2,True,44,3
BTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,33,28,4,9,False,76,6
BTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,31,34,8,11,True,32,3
BTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,37,54,4,4,True,70,6
BTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,27,50,7,11,True,28,8
BTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,39,30,4,2,True,82,7
BTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,27,54,7,8,True,62,8
BTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,29,48,1,1,False,38,6
BTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,35,20,9,11,False,78,4
BTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,27,42,7,5,True,50,7
BTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,35,28,7,11,True,32,7
BTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,39,52,9,7,True,76,6
BTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,17,48,11,11,False,26,9
BTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,25,48,3,4,False,48,6
BTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,27,24,6,1,False,66,3
BTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,31,36,11,8,True,82,9
BTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,17,20,7,6,False,24,8
BTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,31,30,4,6,False,72,2
BTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,17,20,4,11,False,38,8
BTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,27,40,5,9,True,46,9
BTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,28,64,4,5,False,38,8
BTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,12,68,5,2,True,54,7
