Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
DOGEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-5.647181592279971,2,0.0,17,24,8,2,True,60,4
DOGEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.3482856456399905,4,50.0,19,22,11,10,True,64,2
DOGEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.3915584284400104,4,75.0,17,44,9,10,True,52,2
DOGEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.305666793559992,4,100.0,23,22,10,3,True,60,3
DOGEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.715955703559985,7,71.42857142857143,19,38,7,1,True,50,3
DOGEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.188948547679995,4,75.0,25,52,10,4,False,78,2
DOGEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.135786938879994,2,100.0,39,50,2,1,True,56,5
DOGEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.137316499799995,1,0.0,33,52,5,3,True,58,3
DOGEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.999133300640002,4,0.0,23,36,3,1,True,48,3
DOGEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.37224602527999,10,70.0,21,38,6,4,False,70,3
DOGEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.4523154814400243,6,66.66666666666666,33,24,9,3,True,52,4
DOGEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.784129401559945,8,37.5,25,32,6,2,False,52,3
DOGEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.55788007900002,5,80.0,25,32,5,1,True,50,5
DOGEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.571818963079986,3,33.33333333333333,23,52,6,2,True,34,3
DOGEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.0089674170399965,6,33.33333333333333,23,34,10,2,False,48,3
DOGEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.584909460760015,3,33.33333333333333,21,40,6,3,True,54,5
DOGEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.73620077468002,4,75.0,15,46,11,8,False,58,2
DOGEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.12516215664000185,3,66.66666666666666,15,48,11,11,False,26,6
DOGEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.0013964052800075066,8,62.5,25,34,5,1,False,78,4
DOGEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.955364587120025,4,50.0,27,42,5,1,False,46,5
DOGEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.493033633359932,7,100.0,35,20,8,1,True,40,8
DOGEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.6740548123999943,3,100.0,31,54,10,2,False,30,2
DOGEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,16.148956784040024,17,76.47058823529412,10,50,2,9,False,28,2
DOGEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.181291194640103,36,77.77777777777779,16,4,4,4,False,74,2
