Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
DOGEUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.15365807948002352,14,78.57142857142857,37,42,5,1,False,54,3
DOGEUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.0278636344800316,5,60.0,27,40,4,1,True,58,4
DOGEUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.4883578835200417,9,88.88888888888889,27,54,4,1,True,56,9
DOGEUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.4014687710800064,4,75.0,27,30,10,1,True,60,4
DOGEUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.916587131840002,7,71.42857142857143,27,36,10,5,True,50,3
DOGEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.604523119120004,4,50.0,15,24,1,9,True,68,3
DOGEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,7.716586694359928,7,71.42857142857143,21,32,3,3,True,66,5
DOGEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.167786861000007,1,0.0,21,36,1,1,True,66,8
DOGEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.274934295479983,3,33.33333333333333,15,22,3,1,True,70,3
DOGEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.22148396084001876,25,76.0,23,44,2,3,False,34,3
DOGEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.8249739027200165,2,50.0,15,34,2,2,True,66,3
DOGEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.2125754278400236,13,69.23076923076923,31,36,8,1,False,64,5
DOGEUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2616019383600463,14,71.42857142857143,31,36,6,1,False,40,4
DOGEUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-9.591271308319993,5,80.0,27,44,8,1,True,48,5
DOGEUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.003366698239996,1,0.0,29,34,7,1,True,84,2
DOGEUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.917375192719989,3,33.33333333333333,39,54,10,6,True,54,4
DOGEUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5370474574799999,5,60.0,37,46,11,1,False,60,7
DOGEUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.228702965919981,1,0.0,31,24,1,8,True,78,8
DOGEUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.2513687894400318,4,50.0,17,48,10,6,True,40,6
DOGEUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.4116549888000365,7,71.42857142857143,15,32,1,7,True,64,9
DOGEUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.212848524160017,6,100.0,37,52,10,4,False,78,3
DOGEUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.939271729079949,17,82.35294117647058,33,54,3,2,True,32,4
DOGEUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,10.243462239079971,14,64.28571428571429,6,34,6,5,True,54,2
DOGEUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.719219769040002,2,50.0,32,10,2,8,True,78,2
