Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
DOTUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.653284751999966,5,60.0,19,38,2,7,True,64,2
DOTUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.831800852000054,14,64.28571428571429,19,24,11,1,True,30,3
DOTUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.3418839159998317,19,73.68421052631578,24,28,7,1,False,36,3
DOTUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.270086692000021,11,72.72727272727273,20,44,8,1,False,60,2
DOTUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,18.145720444000023,7,85.71428571428571,24,20,7,4,True,68,2
DOTUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.8972642999999363,23,82.6086956521739,32,34,2,2,False,50,2
DOTUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.584344943999951,17,88.23529411764706,38,58,2,1,False,84,4
DOTUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.831395836000043,11,54.54545454545454,34,66,4,1,False,26,2
DOTUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.783430699999989,9,66.66666666666666,24,48,8,1,False,60,2
DOTUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.5184959919999685,27,81.48148148148148,22,10,1,1,True,56,4
DOTUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.6588732920000293,9,66.66666666666666,36,62,7,3,False,68,2
DOTUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.816352976000013,4,50.0,38,72,8,2,False,54,3
DOTUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.4203214079999915,6,100.0,30,46,10,9,True,52,4
DOTUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.81678742399999,4,25.0,36,74,6,3,True,40,3
DOTUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.063518128000009,1,0.0,14,46,4,4,True,60,5
DOTUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.5543424160000319,14,71.42857142857143,32,42,7,6,True,42,6
DOTUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,28,46,6,4,False,38,1
DOTUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.8073519440000787,25,76.0,34,32,4,6,False,76,7
DOTUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-4.594431051999981,2,50.0,34,74,11,1,True,42,2
DOTUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.192568439999997,1,0.0,18,66,11,1,False,80,4
DOTUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.883224420000042,25,92.0,26,42,2,1,False,26,5
DOTUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.5739798560000509,25,76.0,30,60,2,8,False,36,2
DOTUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.4727218160000213,13,61.53846153846154,30,44,4,8,False,26,2
DOTUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,20.159565779999934,22,90.9090909090909,30,42,3,1,True,42,3
