Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
EOSUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.241818503999963,9,55.55555555555556,35,52,6,4,True,54,2
EOSUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.0113057959999283,25,76.0,15,20,9,1,True,56,3
EOSUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.1395422239999906,25,84.0,25,24,10,1,True,54,5
EOSUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.467807223999997,12,75.0,35,52,10,4,False,34,2
EOSUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.192309879999971,11,72.72727272727273,29,48,11,9,False,28,2
EOSUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,9.717875607999993,22,77.27272727272727,29,40,11,1,False,82,3
EOSUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.279163399999897,17,76.47058823529412,29,44,11,2,True,44,2
EOSUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.50377521999999,25,84.0,21,50,7,1,False,28,3
EOSUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.459569504000006,10,40.0,27,52,9,6,False,62,2
EOSUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.359901111999994,2,50.0,33,42,11,2,True,64,3
EOSUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.3610345760000087,29,72.41379310344827,17,30,10,1,True,30,3
EOSUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.646309800000104,27,62.96296296296296,19,36,8,5,True,32,2
EOSUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.3674741480000483,29,75.86206896551724,27,36,8,9,False,78,3
EOSUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.8386102200000023,1,0.0,15,54,4,11,True,80,9
EOSUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.6942268960000497,29,55.172413793103445,19,32,10,10,True,36,9
EOSUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.1453360119999543,12,58.333333333333336,37,50,11,2,False,46,4
EOSUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0880372479999956,1,0.0,17,32,5,9,True,78,9
EOSUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.5643982000000065,15,80.0,35,48,11,1,False,46,5
EOSUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5298082360000178,9,88.88888888888889,39,54,11,1,False,30,7
EOSUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.0572803360000216,1,0.0,21,48,8,8,True,62,7
EOSUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.4135622839998918,36,80.55555555555556,37,42,3,2,True,50,9
EOSUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.4177198720000108,11,63.63636363636363,17,42,11,7,True,50,3
EOSUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,3.046331100000055,12,66.66666666666666,26,78,7,1,True,28,2
EOSUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,17.827382371999967,37,81.08108108108108,20,36,1,1,True,56,2
