Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
EOSUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.7940523399999853,11,63.63636363636363,39,52,1,4,False,82,2
EOSUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.0133241000000135,4,50.0,31,38,5,4,True,56,3
EOSUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.6264989999999813,3,100.0,39,46,11,1,True,26,3
EOSUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.356713791999975,11,81.81818181818183,17,32,5,2,True,44,5
EOSUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.34132626399995,9,88.88888888888889,19,38,1,2,True,60,6
EOSUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.209928000000019,1,0.0,25,32,11,4,True,60,2
EOSUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.1492980920000062,3,66.66666666666666,31,36,11,9,True,36,2
EOSUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.565833347999996,1,0.0,17,52,6,5,True,58,2
EOSUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.4441026759999698,4,50.0,39,28,2,1,True,60,4
EOSUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.48724458000000137,3,66.66666666666666,21,36,8,2,True,58,6
EOSUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-4.476975151999996,1,0.0,17,32,2,1,True,60,3
EOSUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-10.295998675999984,1,0.0,23,46,4,1,True,56,9
EOSUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,15,52,11,11,True,44,9
EOSUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.03334577599998223,2,50.0,37,54,10,11,False,24,9
EOSUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.063091208000011,4,75.0,23,42,11,9,True,50,4
EOSUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.46596899199999875,4,50.0,35,52,11,10,True,42,5
EOSUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.21846693200002765,2,100.0,21,48,9,1,True,42,6
EOSUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.8879049599999966,4,75.0,27,48,10,5,True,42,7
EOSUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.1541168199999952,4,75.0,17,50,2,11,True,60,5
EOSUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.513975024000006,1,0.0,39,52,10,2,True,46,4
EOSUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.6395974599999974,10,70.0,27,24,3,2,False,38,3
EOSUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.6107675480000045,3,0.0,27,46,9,4,False,80,2
EOSUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.265324724000031,13,76.92307692307693,14,68,2,3,False,30,2
EOSUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.018130024000074,20,75.0,12,24,2,4,True,24,2
