Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ETHUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.0292824400000065,5,60.0,31,22,2,1,True,72,3
ETHUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.915386640000001,1,0.0,23,32,1,8,True,68,2
ETHUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.854268880000023,7,85.71428571428571,21,34,7,8,True,64,2
ETHUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,8.100769840000034,9,88.88888888888889,17,40,3,7,True,66,2
ETHUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,18.89916500000004,5,80.0,27,28,10,6,True,68,2
ETHUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-11.684185759999998,1,0.0,39,20,2,2,True,72,2
ETHUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.208536239999993,2,0.0,33,24,2,1,True,70,3
ETHUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.978573480000062,23,65.21739130434783,25,34,9,1,False,70,2
ETHUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.741526679999984,11,81.81818181818183,15,34,2,2,True,64,2
ETHUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.8337645599999943,5,80.0,17,34,8,3,True,64,8
ETHUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.361846759999997,5,80.0,27,52,5,11,True,62,3
ETHUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.273020679999971,5,20.0,23,52,11,8,False,50,7
ETHUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.34639995999999895,3,33.33333333333333,27,40,10,6,True,62,3
ETHUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.7815487600000086,3,66.66666666666666,31,48,9,1,True,62,9
ETHUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.740817199999988,3,33.33333333333333,35,46,10,5,True,60,7
ETHUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-19.183914599999984,4,50.0,27,54,4,5,True,58,3
ETHUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5838516399999882,1,0.0,37,52,10,6,True,80,9
ETHUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-5.517492679999991,1,0.0,25,48,5,5,True,78,6
ETHUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.776282600000002,1,0.0,33,26,1,8,True,78,3
ETHUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.103268040000006,1,0.0,39,28,10,10,True,76,5
ETHUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.858746560000003,1,0.0,17,46,1,11,True,78,9
ETHUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.3573359200000237,18,72.22222222222221,35,42,8,9,True,32,8
ETHUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.0264375200000009,3,66.66666666666666,34,56,10,8,True,60,4
ETHUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.770044479999967,10,90.0,26,28,3,1,True,64,4
