Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
FILUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-6.349960087999984,2,0.0,17,38,7,1,True,58,4
FILUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-3.9765941199999766,4,25.0,10,50,4,3,True,48,2
FILUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.0176282119999547,17,70.58823529411765,16,36,2,3,True,46,4
FILUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,21.23453887600004,14,92.85714285714286,26,10,5,2,True,60,2
FILUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,11.75920640399999,9,88.88888888888889,8,14,5,1,True,66,2
FILUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.27099861600005,6,66.66666666666666,16,16,8,2,True,56,2
FILUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.7067664480000189,4,75.0,36,28,4,2,True,52,3
FILUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.311996444000018,2,0.0,26,48,3,1,True,58,6
FILUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.0583257920000144,10,70.0,24,24,5,1,False,80,2
FILUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.4311817760000123,6,50.0,24,72,1,1,False,82,3
FILUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.2227762399998907,12,91.66666666666666,24,62,1,1,True,30,4
FILUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.1154490120000276,7,71.42857142857143,28,34,5,2,False,32,4
FILUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.17996571200000755,2,100.0,26,42,11,5,True,32,6
FILUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.4669163479999803,2,100.0,28,50,10,2,True,44,9
FILUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.430274328000003,5,60.0,38,32,8,3,True,52,5
FILUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.5555887040000003,3,33.33333333333333,28,28,11,5,True,52,5
FILUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9855097720000261,2,100.0,16,54,9,1,True,36,5
FILUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.6659951080000077,2,100.0,10,54,9,10,False,34,2
FILUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-3.344054375999983,4,50.0,34,30,11,1,False,68,3
FILUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.6226842320000259,3,66.66666666666666,36,54,9,2,True,46,3
FILUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.3731517960000161,7,100.0,34,42,4,1,False,70,4
FILUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.9132689960000624,18,72.22222222222221,28,16,3,1,False,38,2
FILUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,3.419807855999979,7,71.42857142857143,26,30,5,2,False,78,3
FILUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,26.61722654799994,23,86.95652173913044,14,24,3,1,True,36,2
