Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
FILUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-12.679613280000046,4,50.0,12,8,1,1,True,84,3
FILUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.508903876000009,2,0.0,10,8,4,1,True,84,4
FILUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.6501924200000397,20,75.0,6,14,11,1,True,56,2
FILUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,11.273624155999995,22,86.36363636363636,18,22,6,5,True,56,3
FILUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-9.017565344000033,9,44.44444444444444,24,40,7,2,False,82,2
FILUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.637757451999968,24,62.5,6,8,6,10,True,66,2
FILUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.344255528000038,10,70.0,24,38,9,4,False,42,2
FILUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-25.778410068000035,5,60.0,4,30,1,11,True,66,2
FILUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.31362178800000695,7,57.14285714285714,34,40,11,1,False,64,2
FILUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-4.4238643800000315,8,62.5,36,78,3,2,True,30,3
FILUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.0480825839999994,3,100.0,32,70,11,1,False,38,3
FILUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,3.0209957359999873,3,100.0,32,74,11,1,False,70,4
FILUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,34,62,1,4,False,28,1
FILUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.193877344000007,6,66.66666666666666,24,62,11,1,True,28,5
FILUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,20,72,5,1,False,36,1
FILUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.2400531840000024,9,66.66666666666666,34,66,8,1,False,48,2
FILUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.4676576359999851,2,100.0,36,68,11,7,False,80,6
FILUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.080793168000029,3,100.0,20,78,10,4,False,80,2
FILUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.07170313600000089,3,66.66666666666666,28,72,10,2,False,28,6
FILUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.37522066399999776,2,50.0,18,46,4,4,True,64,2
FILUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.8590181520000462,14,57.14285714285714,38,38,3,1,False,84,2
FILUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.6024385199999704,29,93.10344827586206,32,76,1,1,False,38,3
FILUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.968975883999982,21,76.19047619047619,32,38,2,4,True,48,2
FILUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,21.25958964400001,35,85.71428571428571,36,20,1,4,True,36,2
