Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ICPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.798108496000066,31,70.96774193548387,36,6,2,1,False,54,2
ICPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.737961004000013,6,66.66666666666666,12,22,6,1,True,62,4
ICPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,10.321848495999909,19,84.21052631578947,12,78,1,1,False,70,2
ICPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.336860971999902,29,82.75862068965517,16,24,1,1,True,34,2
ICPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.043100423999942,18,72.22222222222221,32,10,4,2,False,70,2
ICPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.896393479999975,13,76.92307692307693,30,18,7,1,True,24,2
ICPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,13.52894165599996,10,100.0,36,42,4,1,True,38,2
ICPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-5.665196415999985,11,63.63636363636363,18,26,6,2,False,26,2
ICPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.7618307839999838,11,63.63636363636363,32,22,7,8,False,58,2
ICPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.15393023600008,9,88.88888888888889,32,42,3,3,True,32,2
ICPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.11862465199998784,10,70.0,34,22,11,9,True,36,2
ICPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-12.292197815999916,26,76.92307692307693,30,4,8,1,False,42,2
ICPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.4462469999999783,5,100.0,30,48,5,2,True,26,3
ICPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.17835580800001,4,75.0,22,44,10,1,False,78,2
ICPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.866085331999992,5,80.0,34,18,11,1,True,58,7
ICPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.5071258879999956,2,0.0,20,46,11,5,True,46,3
ICPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.3756865519999772,4,75.0,18,38,10,1,False,70,5
ICPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7678094719999917,4,75.0,18,38,10,1,False,28,3
ICPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.8235081120000487,4,50.0,16,76,4,1,False,70,6
ICPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.1347100879999923,4,50.0,18,60,5,1,False,52,2
ICPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-2.265202763999985,5,60.0,12,52,4,1,False,34,2
ICPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.7554326520000219,37,75.67567567567568,10,4,1,6,True,52,2
ICPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,8.34532118399991,32,75.0,4,12,5,1,False,70,2
ICPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.11579910399996,5,100.0,4,16,10,3,True,66,2
