Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
ICPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.79923059200005,4,50.0,34,14,4,1,True,76,3
ICPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-3.9361049880000443,6,66.66666666666666,24,40,4,6,True,60,2
ICPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.381322800000097,38,65.78947368421053,10,40,2,1,False,26,2
ICPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.42065715599997056,6,83.33333333333334,26,32,5,4,True,60,2
ICPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.892944784000003,3,66.66666666666666,18,20,8,2,True,70,2
ICPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,3.202830591999972,9,88.88888888888889,28,56,1,2,True,56,2
ICPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,7.180362263999962,15,73.33333333333333,26,24,11,1,True,44,2
ICPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.351335236000047,17,64.70588235294117,26,70,2,1,False,24,2
ICPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-11.318205088,3,33.33333333333333,24,16,5,3,True,70,2
ICPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.029198212000006,32,62.5,18,48,1,2,False,24,2
ICPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.2502048320000236,24,79.16666666666666,38,54,1,2,False,82,2
ICPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.9203324000000075,36,66.66666666666666,28,12,5,2,False,50,2
ICPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.0019686680000195,2,100.0,20,60,11,5,False,34,2
ICPUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.9154368639999895,3,33.33333333333333,18,76,8,1,False,32,2
ICPUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.461705355999964,3,100.0,4,36,8,6,False,32,9
ICPUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.1355970359999792,39,64.1025641025641,14,12,9,4,False,54,2
ICPUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.8735176079998963,39,58.97435897435898,28,6,10,8,False,78,2
ICPUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-3.304435960000096,36,58.333333333333336,18,10,7,5,False,72,2
ICPUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.06441714799998444,5,80.0,36,58,9,1,True,28,3
ICPUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.1272163799999957,27,62.96296296296296,6,20,9,6,False,36,2
ICPUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,5.499614416000043,17,88.23529411764706,22,28,7,1,True,44,3
ICPUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,3.853082975999933,34,79.41176470588235,32,6,7,6,True,62,2
ICPUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.057980439999965,15,73.33333333333333,22,24,11,1,False,26,2
ICPUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,10.592903963999989,72,77.77777777777779,38,4,4,1,False,34,2
