Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
INJUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.112845856000072,26,80.76923076923077,20,30,1,1,True,60,4
INJUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.543525492000025,20,80.0,8,34,1,1,True,60,3
INJUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-3.4840569440000357,7,57.14285714285714,28,44,10,1,True,56,3
INJUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.45736706400006,10,80.0,24,18,5,4,True,70,2
INJUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,11.792239287999994,6,66.66666666666666,34,28,3,1,True,64,2
INJUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.849998587999945,7,71.42857142857143,18,44,4,4,True,58,3
INJUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-8.33947355200002,5,40.0,36,66,4,6,True,56,2
INJUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.66816340000003,36,77.77777777777779,26,70,3,1,False,24,2
INJUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.8655913400000075,12,50.0,16,60,7,1,False,36,2
INJUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.6408705240000034,29,75.86206896551724,16,64,4,1,False,26,2
INJUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.7100127119999975,5,80.0,26,72,2,9,False,26,1
INJUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.907498148000112,91,63.73626373626373,6,12,10,2,False,30,2
INJUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,7.233726692000042,54,77.77777777777779,6,34,5,9,True,46,3
INJUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.0981768960000045,21,80.95238095238095,36,26,7,9,True,54,4
INJUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.40574119599999,2,50.0,38,56,11,1,True,62,5
INJUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-23.59689968800002,2,0.0,28,74,9,1,True,56,6
INJUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0810347720000113,5,60.0,26,74,11,1,False,44,2
INJUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.0237192959999577,6,50.0,8,68,9,4,True,28,2
INJUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.7318098639999677,18,88.88888888888889,34,58,7,1,True,48,4
INJUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,7.562557163999983,16,87.5,38,72,6,1,False,60,2
INJUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,13.04602342000003,18,94.44444444444444,30,44,6,2,True,52,3
INJUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.757546584000007,12,66.66666666666666,36,52,6,1,True,48,7
INJUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,8.476970467999955,13,69.23076923076923,32,56,9,11,False,70,2
INJUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,17.579466927999942,14,100.0,26,58,8,1,True,48,2
