Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
INJUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.817236064000017,9,66.66666666666666,4,10,1,1,True,74,2
INJUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,12.766287480000038,6,100.0,36,74,3,1,True,24,2
INJUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.295923111999978,2,100.0,38,40,9,1,True,56,2
INJUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.092730288000079,6,83.33333333333334,34,30,8,1,False,72,2
INJUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.115701971999953,9,77.77777777777779,38,36,3,1,True,38,2
INJUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-11.274344852000018,9,55.55555555555556,38,28,2,1,False,64,2
INJUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.2460096440000012,20,60.0,4,22,5,2,True,46,2
INJUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.326931051999978,3,66.66666666666666,34,60,6,2,False,68,1
INJUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.8708562960000341,7,71.42857142857143,36,40,4,9,False,68,2
INJUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.662249192,9,66.66666666666666,24,4,3,2,True,76,2
INJUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.7573709160000006,5,60.0,38,42,4,4,True,50,4
INJUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.13573925599998926,3,33.33333333333333,12,56,8,7,True,42,4
INJUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.085502540000017,2,100.0,14,44,10,1,False,52,2
INJUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.3418026640000384,3,66.66666666666666,14,42,10,2,True,50,2
INJUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.4459948039999828,4,75.0,20,54,6,1,False,24,2
INJUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.03574476399999,14,50.0,18,22,6,3,False,82,2
INJUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.41806512399999995,1,100.0,14,44,11,2,False,26,7
INJUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,5.189816391999957,21,85.71428571428571,14,30,3,1,False,70,4
INJUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,10.124445967999973,21,90.47619047619048,22,26,2,1,True,26,3
INJUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.1140017120000678,18,77.77777777777779,32,14,4,1,False,82,3
INJUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,23.63304735599998,29,89.65517241379311,32,8,1,1,True,44,2
INJUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-9.73107139999998,7,57.14285714285714,28,52,1,4,False,52,2
INJUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,16.17767287199996,26,88.46153846153845,34,6,5,1,False,58,2
INJUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.206712347999993,19,84.21052631578947,14,28,1,1,False,76,2
