Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
KASUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.871427070159735,48,89.58333333333334,36,12,4,1,True,56,5
KASUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.4554351947200255,4,50.0,8,28,11,11,True,64,3
KASUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.1754673160800735,37,75.67567567567568,18,20,11,2,False,56,3
KASUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,10.485852039440125,34,82.35294117647058,14,62,4,2,True,36,3
KASUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.143455876679887,36,72.22222222222221,14,34,8,2,True,44,3
KASUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.805175939960041,35,80.0,14,46,4,1,True,48,3
KASUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.91497620007992,39,64.1025641025641,14,30,7,2,False,42,3
KASUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.696610596760076,46,82.6086956521739,28,68,2,2,False,70,4
KASUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.159157996200012,9,66.66666666666666,4,60,5,7,True,48,3
KASUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.7572451636000297,8,75.0,36,46,11,1,True,52,5
KASUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.819113825919997,31,96.7741935483871,24,32,8,1,True,44,6
KASUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.191497238719964,3,66.66666666666666,36,38,4,3,True,66,5
KASUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,9.126019776599836,59,93.22033898305084,16,14,5,1,True,58,7
KASUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.94590526119998,3,66.66666666666666,32,50,9,10,True,62,3
KASUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,5.331382593080014,4,75.0,10,58,1,8,True,64,3
KASUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.544630410520078,27,70.37037037037037,10,6,9,1,True,76,3
KASUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.9181232111199589,34,64.70588235294117,26,66,2,5,False,36,3
KASUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.1908922094799,40,55.00000000000001,22,28,5,5,True,42,4
KASUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.6366272167199982,26,69.23076923076923,38,42,4,1,True,32,5
KASUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.8604430297599737,24,66.66666666666666,20,34,11,1,False,28,3
KASUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.2968176326799474,27,85.18518518518519,20,56,5,1,True,42,5
KASUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.1006153877600076,12,66.66666666666666,8,68,6,8,True,42,2
KASUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.442995349520018,26,69.23076923076923,12,62,5,8,False,48,3
KASUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.2426737437199593,21,71.42857142857143,28,56,6,3,True,44,3
KASUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.845497789640004,6,66.66666666666666,34,8,1,8,True,84,4
KASUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.777583041600031,9,55.55555555555556,28,74,7,7,True,50,3
KASUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,5.075571819559954,22,90.9090909090909,34,36,11,1,False,62,3
KASUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-1.719006351520036,12,66.66666666666666,22,62,7,1,False,38,3
KASUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-8.014398947079993,27,66.66666666666666,28,24,5,4,True,52,3
KASUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-3.9798049529599977,7,28.57142857142857,10,66,6,6,True,48,3
KASUSDT,15min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-5.59006878188002,13,61.53846153846154,34,50,11,1,True,46,9
KASUSDT,15min,32,2024-12-26,2025-03-20,2025-03-20,2025-04-03,-5.250636501839978,4,50.0,30,78,10,3,True,50,5
