Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
KASUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.3049246083999932,18,61.111111111111114,6,32,4,5,True,44,2
KASUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.9778232070000059,3,33.33333333333333,26,54,3,5,True,52,3
KASUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.386813189639983,3,66.66666666666666,14,50,8,7,False,28,2
KASUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.788875735199972,11,63.63636363636363,12,38,1,4,True,56,2
KASUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.086798358719973,7,71.42857142857143,24,28,4,2,True,52,3
KASUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.49920471055999727,13,69.23076923076923,10,56,1,3,True,48,2
KASUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.841994002359963,11,72.72727272727273,20,68,1,2,True,44,3
KASUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.967034760479995,22,54.54545454545454,6,78,1,3,True,40,2
KASUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.569873575199946,15,60.0,14,36,2,2,False,74,3
KASUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.2320537591199896,5,80.0,16,44,7,2,False,74,3
KASUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.4432017458799775,11,90.9090909090909,18,20,6,1,True,52,4
KASUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.6582837462400413,12,75.0,4,12,11,1,True,44,4
KASUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,8.60157253320002,12,91.66666666666666,16,38,3,1,False,64,3
KASUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.5452924562800137,10,80.0,20,28,6,6,False,58,2
KASUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.143887232560048,5,80.0,22,72,4,4,False,62,2
KASUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.1110369417199792,6,50.0,14,60,4,5,True,48,2
KASUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.2604201885999857,10,80.0,18,30,6,1,False,80,5
KASUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.2148635423200096,8,62.5,18,30,8,1,True,34,7
KASUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.625592011879995,25,72.0,12,16,3,8,False,68,2
KASUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.1249810093999963,3,0.0,8,78,4,2,True,46,3
KASUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-4.241297257160026,14,64.28571428571429,30,8,8,1,False,30,3
KASUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.3665813733999777,9,66.66666666666666,16,32,8,1,True,32,5
KASUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.383468809399993,17,52.94117647058824,6,44,3,3,False,58,2
KASUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.9079971609599946,17,64.70588235294117,16,12,6,6,True,44,2
KASUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,4.134576969760051,29,75.86206896551724,30,4,6,2,True,52,3
KASUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.8997753667200143,18,72.22222222222221,12,18,4,2,False,52,3
KASUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.04817885300001379,15,80.0,True,10,50,2,1,False,40,3
