Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
LDOUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.1265451831999673,7,42.857142857142854,36,68,2,2,False,72,3
LDOUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.3008629511999983,1,0.0,28,64,6,3,True,54,2
LDOUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.5162583991999776,6,66.66666666666666,18,24,4,1,True,60,3
LDOUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.0614844028000077,6,100.0,30,66,3,1,True,26,5
LDOUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.368540074000003,7,71.42857142857143,32,12,10,1,True,60,2
LDOUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.3650186024,9,66.66666666666666,28,50,1,1,True,34,3
LDOUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.327518745200053,17,76.47058823529412,22,4,8,1,True,66,3
LDOUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.815204568000023,3,66.66666666666666,28,58,6,5,False,84,2
LDOUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.6539498668000094,6,50.0,22,36,7,7,False,32,3
LDOUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.942831594399974,7,28.57142857142857,26,28,10,6,False,38,2
LDOUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.8349927039999816,4,50.0,16,38,9,3,True,44,3
LDOUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,4.70529689000001,1,100.0,8,70,2,4,True,56,9
LDOUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.012296223200007,10,90.0,26,26,8,1,True,28,6
LDOUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.37221324000003,1,100.0,36,78,4,1,True,48,8
LDOUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.482609090799992,4,75.0,38,70,4,2,False,46,3
LDOUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-19.35481070280004,7,28.57142857142857,18,76,1,11,False,48,2
LDOUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-3.0066278680000336,5,60.0,32,46,3,1,False,44,2
LDOUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.8123178215999642,6,83.33333333333334,26,26,10,2,True,42,3
LDOUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3577474175999962,1,100.0,18,60,9,2,True,48,5
LDOUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.4858538763999793,11,90.9090909090909,34,26,7,2,False,68,3
LDOUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-1.1378113599999962,4,50.0,22,74,2,6,True,44,2
LDOUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.263084765999992,9,66.66666666666666,38,22,8,1,False,70,3
LDOUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.01888882480001186,8,37.5,12,42,5,2,True,26,2
LDOUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,12.358811822800009,5,100.0,36,66,2,1,True,46,3
