Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
LDOUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,21.944534820400087,16,87.5,38,12,7,1,True,64,4
LDOUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.88495075840001,7,71.42857142857143,4,68,2,1,True,56,4
LDOUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.171058250000013,15,80.0,8,10,1,1,True,68,4
LDOUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.29570511680002,15,66.66666666666666,32,6,7,5,True,78,3
LDOUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.27461151400006,13,61.53846153846154,36,10,4,1,True,64,4
LDOUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-7.329244922799994,5,60.0,10,18,3,2,True,72,4
LDOUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.5138737320000706,17,82.35294117647058,36,44,3,1,True,24,4
LDOUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-11.19261927080004,14,64.28571428571429,30,22,10,6,True,46,3
LDOUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.8066001815999515,10,70.0,34,70,5,1,False,76,3
LDOUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-5.798539923200008,10,30.0,26,32,8,1,True,46,2
LDOUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,36,72,10,4,False,78,2
LDOUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.139475398800006,3,33.33333333333333,32,8,4,8,True,82,5
LDOUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.5187792439999894,1,100.0,32,66,11,1,False,68,4
LDOUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.674133501999985,1,0.0,18,78,6,3,True,54,8
LDOUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.437157359200026,23,82.6086956521739,6,4,11,1,True,80,6
LDOUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-17.895688225599947,8,25.0,32,78,5,3,True,34,3
LDOUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.15574396720001715,2,50.0,28,70,10,1,True,42,8
LDOUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.0543777900000393,6,66.66666666666666,36,74,6,3,False,24,3
LDOUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.091185185200085,29,82.75862068965517,14,38,3,3,True,46,5
LDOUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.2194226611999537,18,72.22222222222221,24,22,7,8,True,50,6
LDOUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,32,34,10,10,True,68,1
LDOUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-7.272628816799987,1,0.0,24,28,1,8,True,70,5
LDOUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-5.2134399288000015,16,56.25,38,20,7,4,False,28,2
LDOUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,26.461358175200033,43,86.04651162790698,30,10,8,2,False,38,2
