Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
LINKUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.8710757640000093,10,70.0,23,30,8,2,True,36,2
LINKUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.9712011880000038,3,33.33333333333333,21,48,3,1,True,56,4
LINKUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,8.380173548000002,5,100.0,27,32,7,1,True,58,5
LINKUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-2.381833515999987,1,0.0,15,32,10,1,True,58,2
LINKUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.151369715999988,3,100.0,23,36,11,1,True,32,2
LINKUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.212152312000018,2,50.0,15,26,10,1,True,62,2
LINKUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-6.770094067999999,1,0.0,35,48,6,1,True,54,2
LINKUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.992995712000006,1,0.0,39,52,9,1,False,76,2
LINKUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.5865237960000602,8,75.0,31,20,10,1,False,52,2
LINKUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,5.2528139120000095,11,72.72727272727273,23,28,5,1,False,46,4
LINKUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.713082755999999,8,75.0,29,34,7,2,False,84,2
LINKUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.462533636000012,9,55.55555555555556,27,34,3,3,False,84,2
LINKUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-4.031958327999985,9,55.55555555555556,25,44,1,1,True,34,2
LINKUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.938897084000015,6,83.33333333333334,27,32,6,3,True,48,2
LINKUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.55352285999998,6,50.0,27,28,9,1,True,50,3
LINKUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-12.516030308000003,5,60.0,29,34,8,2,True,48,2
LINKUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.4449190199999906,5,100.0,17,44,6,11,True,56,9
LINKUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.5113824239999953,1,100.0,37,34,11,3,True,58,6
LINKUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.9696298079999943,2,50.0,23,50,11,10,True,42,3
LINKUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.11157898799998289,6,50.0,29,38,4,5,True,48,3
LINKUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.0437197800000186,6,83.33333333333334,29,30,8,5,True,48,7
LINKUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.443482651999964,5,20.0,15,32,9,1,False,54,5
LINKUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.925170595999996,17,70.58823529411765,10,20,7,6,False,48,3
LINKUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.700648227999967,9,88.88888888888889,4,32,1,6,True,60,3
