Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
LINKUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.33983653999996033,20,80.0,23,20,1,1,True,58,2
LINKUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.1274660439999593,26,65.38461538461539,15,20,8,1,True,46,3
LINKUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.605934012000001,9,55.55555555555556,27,38,8,2,True,46,2
LINKUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-4.874934484000004,1,0.0,15,26,5,1,True,66,6
LINKUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.872224159999994,20,90.0,23,36,4,1,False,60,3
LINKUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.258695487999998,1,0.0,29,50,9,5,True,58,2
LINKUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.4619450359999684,14,78.57142857142857,19,22,10,3,True,48,2
LINKUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-16.65512062000002,7,57.14285714285714,33,28,8,6,True,50,2
LINKUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.7150330119999992,17,64.70588235294117,15,54,4,3,True,36,2
LINKUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.421239432000035,19,73.68421052631578,27,22,6,4,True,50,2
LINKUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,4.379205671999986,11,72.72727272727273,37,54,7,2,False,42,2
LINKUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.4872311759999812,8,62.5,23,48,5,10,True,50,3
LINKUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.42694855200001713,10,30.0,35,38,8,5,False,68,7
LINKUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.5429410360000109,1,0.0,23,40,11,8,True,70,7
LINKUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.3158490439999735,9,66.66666666666666,25,38,8,2,True,52,4
LINKUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-19.098583307999995,3,33.33333333333333,15,28,11,3,True,60,4
LINKUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.9365596159999887,1,0.0,37,52,9,8,True,80,9
LINKUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.5039046519999979,1,0.0,15,54,11,8,True,78,9
LINKUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.8546640880000345,1,0.0,27,48,7,6,True,72,7
LINKUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.20894701199999366,2,50.0,21,54,1,7,True,66,9
LINKUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.3638343120000451,15,93.33333333333333,31,34,7,1,True,30,9
LINKUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.8301119160000212,10,60.0,29,48,5,7,False,40,6
LINKUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.698577623999965,4,75.0,34,70,10,4,False,54,2
LINKUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,7.841922143999924,11,90.9090909090909,18,30,11,1,True,36,2
