Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
LTCUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-10.540606599999958,22,68.18181818181817,31,52,5,1,False,58,2
LTCUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.098993399999948,26,92.3076923076923,29,36,7,1,True,50,3
LTCUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.964722639999917,29,79.3103448275862,27,50,5,1,True,48,2
LTCUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.260397120000013,3,66.66666666666666,21,28,1,1,True,68,6
LTCUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.052369479999877,55,72.72727272727273,21,20,4,4,True,50,2
LTCUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.819039960000005,4,50.0,19,20,8,2,True,72,2
LTCUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.8211109599999737,39,71.7948717948718,27,30,1,4,True,52,2
LTCUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.254704120000024,9,66.66666666666666,37,40,11,1,True,56,2
LTCUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.9743685200000574,9,77.77777777777779,25,30,9,4,True,62,2
LTCUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,5.399028919999993,12,75.0,23,46,4,3,True,58,2
LTCUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.8880097599999868,3,33.33333333333333,19,50,11,1,True,58,2
LTCUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.21537124000002,16,62.5,15,54,7,1,True,48,2
LTCUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.2694826800000456,6,66.66666666666666,39,50,6,1,True,58,7
LTCUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.209068239999922,14,57.14285714285714,15,44,11,3,False,68,3
LTCUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.3581990800000101,1,0.0,25,28,10,10,True,72,6
LTCUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.121010799999972,3,33.33333333333333,19,28,6,11,True,66,6
LTCUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.7282317600000088,1,0.0,25,26,5,11,True,82,9
LTCUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.45346324000001825,1,0.0,27,28,9,6,True,74,9
LTCUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.29833328000002,2,50.0,19,54,10,5,True,64,9
LTCUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.1820743999999994,2,50.0,37,50,8,5,True,62,3
LTCUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.4430724799999757,16,81.25,35,36,11,5,True,50,4
LTCUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.00423411999987966,46,67.3913043478261,25,28,6,9,False,42,3
LTCUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,23.947826640000013,9,88.88888888888889,28,22,4,9,True,70,2
LTCUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.240349760000007,20,70.0,32,56,6,2,False,60,2
