Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
LTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.3695988000000288,10,80.0,23,50,3,1,False,50,2
LTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.923716760000006,10,90.0,17,26,9,1,True,32,2
LTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.2500856400000435,6,83.33333333333334,21,50,4,5,True,52,2
LTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.0987199999999975,2,50.0,33,34,2,5,True,58,2
LTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.840391959999994,8,87.5,23,44,4,1,True,44,3
LTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-6.100890159999994,1,0.0,27,54,5,1,True,54,2
LTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.366221079999953,9,66.66666666666666,33,48,1,2,False,74,2
LTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-13.891013279999974,7,71.42857142857143,35,22,10,1,False,40,2
LTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.0205996799999673,13,69.23076923076923,27,28,2,1,False,24,2
LTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.927830320000014,8,75.0,31,22,11,1,False,78,2
LTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,4.832953399999962,6,100.0,29,38,9,1,False,76,2
LTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.255170839999988,7,71.42857142857143,17,26,5,1,True,52,7
LTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-2.4173938800000183,1,0.0,35,50,9,1,True,46,2
LTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.9444061599999998,2,100.0,29,50,10,9,True,44,8
LTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.44449615999999637,5,80.0,35,52,6,6,True,48,6
LTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.906374999999965,6,66.66666666666666,23,30,1,6,True,54,3
LTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.13729471999999188,2,0.0,25,52,11,11,True,44,9
LTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.2569624000000159,1,0.0,35,24,9,6,True,68,8
LTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.0083923599999887,1,100.0,29,36,8,7,True,60,5
LTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.5902733599999932,1,0.0,39,50,3,7,True,56,6
LTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.7038246399999863,10,90.0,39,20,10,1,True,32,4
LTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-9.689272080000034,4,25.0,33,24,10,1,False,44,2
LTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,13.169443559999916,26,76.92307692307693,18,6,8,10,False,40,2
LTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,16.687606320000036,4,100.0,12,58,4,3,True,56,1
