Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
NEARUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.5630415679999916,1,0.0,28,36,6,2,True,64,2
NEARUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.31870026400002,6,50.0,6,20,10,2,True,50,3
NEARUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.849987995999983,5,60.0,8,38,4,9,True,62,2
NEARUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.6014803400000073,6,50.0,36,6,7,7,True,74,2
NEARUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.081392627999943,20,75.0,10,12,6,1,True,50,3
NEARUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.2241587719999947,30,86.66666666666667,6,12,1,1,True,52,3
NEARUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.6323464520000108,4,25.0,32,10,6,1,True,72,4
NEARUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.3854238839999597,52,75.0,6,4,1,1,False,58,2
NEARUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.2688365199999607,43,65.11627906976744,6,4,5,6,False,34,2
NEARUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9140763639999614,30,66.66666666666666,4,58,1,5,True,34,2
NEARUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.604119079999878,40,55.00000000000001,6,12,1,7,True,30,2
NEARUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-11.277313744000017,5,20.0,30,6,1,10,True,70,2
NEARUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.45404979199998863,21,52.38095238095239,12,10,6,5,False,72,3
NEARUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.084211760000021,1,100.0,38,78,5,1,True,44,9
NEARUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-3.359782431999936,9,44.44444444444444,32,28,6,4,False,66,2
NEARUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-9.541807600000052,11,63.63636363636363,20,22,7,2,False,82,3
NEARUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.6448548639999885,3,66.66666666666666,32,54,9,3,False,64,3
NEARUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.636213679999977,4,75.0,18,46,8,2,True,40,2
NEARUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.2654711399999963,3,66.66666666666666,18,68,7,3,False,56,2
NEARUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.2971025759999746,3,66.66666666666666,38,56,9,1,True,46,5
NEARUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.0917307439999968,15,53.333333333333336,26,10,10,2,True,42,3
NEARUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.138067411999979,14,64.28571428571429,16,74,1,2,False,58,2
NEARUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,24.900582844000006,20,95.0,22,10,9,1,False,32,2
NEARUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,17.196471475999985,34,73.52941176470588,4,64,1,4,True,42,2
