Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
NEARUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-10.768136756000002,2,50.0,6,30,3,2,True,66,5
NEARUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.582000863999983,4,25.0,4,6,10,3,True,84,3
NEARUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.9533381399999818,7,57.14285714285714,32,38,8,1,True,56,4
NEARUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.2628305959999437,12,83.33333333333334,34,6,4,2,True,80,5
NEARUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,19.8585366279999,21,90.47619047619048,30,52,1,1,True,52,4
NEARUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.847422040000013,9,88.88888888888889,38,42,3,1,True,54,4
NEARUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.328456864000017,13,76.92307692307693,16,28,1,2,True,56,5
NEARUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.967594147999971,4,50.0,16,34,1,1,True,64,6
NEARUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.1710350520000032,3,66.66666666666666,4,34,3,1,True,66,5
NEARUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,5.129275376000009,2,50.0,12,14,11,3,True,76,3
NEARUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.5398770879999626,31,70.96774193548387,16,10,9,9,True,52,2
NEARUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-10.78182597600007,25,52.0,22,24,1,10,True,44,2
NEARUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,5.905748240000097,13,92.3076923076923,36,74,3,1,False,30,5
NEARUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-3.781216799999987,2,50.0,24,74,8,6,True,52,2
NEARUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.0649985159999709,7,71.42857142857143,24,26,9,6,True,56,5
NEARUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.264271660000008,12,83.33333333333334,38,66,4,1,False,62,3
NEARUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.7034366079999854,6,83.33333333333334,38,78,5,6,False,50,4
NEARUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.3577940840000071,4,75.0,10,60,10,6,True,48,6
NEARUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.2455459359999708,17,82.35294117647058,36,58,2,1,False,34,4
NEARUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.4097479759999763,5,80.0,36,78,7,4,True,42,4
NEARUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.0750931999999436,13,69.23076923076923,34,52,5,1,False,72,3
NEARUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.596990015999955,25,88.0,30,22,7,1,False,38,3
NEARUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,14.677450603999965,17,82.35294117647058,26,72,3,7,False,32,2
NEARUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.544333516000012,16,68.75,36,34,5,1,False,60,2
