Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
OPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,8.466457711200025,2,50.0,14,28,5,1,True,64,3
OPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.7030637108000395,4,25.0,38,46,5,2,False,58,2
OPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.568033036400055,11,90.9090909090909,16,34,3,1,True,54,4
OPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.3888389823999887,5,60.0,16,32,10,1,False,72,2
OPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,36.32781823319997,12,83.33333333333334,8,18,1,2,True,60,2
OPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.89013544359999,3,66.66666666666666,26,22,4,5,True,58,2
OPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-9.380887411999995,6,50.0,8,26,1,1,True,56,2
OPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.8479901859999925,4,25.0,18,50,8,2,False,56,2
OPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,9.476259830399991,3,66.66666666666666,32,46,7,6,True,58,4
OPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.6213776311999624,7,71.42857142857143,26,64,4,2,False,84,3
OPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.8798547947999733,4,75.0,22,76,5,1,False,30,4
OPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.5550756031999855,7,57.14285714285714,22,50,8,2,False,68,3
OPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.10892272839997386,3,66.66666666666666,26,48,6,1,True,46,6
OPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.4361204659999913,2,100.0,20,54,10,3,True,44,5
OPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.498461495999992,2,50.0,20,52,11,5,False,70,2
OPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.982059329199984,9,44.44444444444444,10,30,8,4,False,44,3
OPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,6,60,10,8,True,50,2
OPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.1519743739999857,1,100.0,26,68,9,2,True,46,5
OPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.6664080692000205,14,78.57142857142857,34,14,6,1,True,26,3
OPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.087188788399962,23,69.56521739130434,10,44,1,9,False,66,2
OPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.222839591200022,5,80.0,30,32,10,1,False,42,3
OPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.416876532400004,2,50.0,30,70,6,8,True,50,6
OPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.253887148800019,20,75.0,16,12,2,4,False,24,2
OPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,15.063208337199985,34,79.41176470588235,16,8,1,6,False,54,2
