Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
OPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.0508858311999787,2,0.0,36,26,7,2,True,66,3
OPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-12.145005274400011,4,50.0,10,34,8,1,True,58,3
OPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.4671382667998945,50,66.0,6,76,1,7,False,38,2
OPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,3.3112518575999728,19,89.47368421052632,28,48,3,1,False,70,3
OPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.608528512,3,66.66666666666666,32,22,6,9,True,66,2
OPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.833505998000001,1,0.0,36,48,7,8,True,56,2
OPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.984682363600045,10,60.0,38,46,7,1,False,64,3
OPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-11.391329850799991,9,33.33333333333333,38,32,11,3,False,78,2
OPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.193037898400032,8,75.0,36,42,8,1,False,24,4
OPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.244150748400031,5,60.0,36,68,8,1,False,72,4
OPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.9844357388000278,4,75.0,38,58,11,2,False,26,3
OPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.8110232848000294,3,66.66666666666666,36,74,11,2,False,80,3
OPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,6,70,6,5,True,60,1
OPUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.5211091703999924,13,69.23076923076923,32,54,4,1,True,34,9
OPUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.264077815599986,12,75.0,24,54,5,7,True,50,6
OPUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.722999685199991,13,46.15384615384615,20,56,5,6,True,34,3
OPUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.1694861900000122,3,33.33333333333333,16,70,9,5,False,50,3
OPUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,30,48,2,11,True,78,1
OPUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.6687621411999984,11,72.72727272727273,34,36,9,5,False,70,3
OPUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.1993950232000339,12,58.333333333333336,20,56,5,5,False,32,2
OPUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.1017954864000146,8,50.0,36,38,9,3,True,32,2
OPUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.9095252024000198,19,78.94736842105263,38,24,7,1,False,34,3
OPUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.393197845200004,20,65.0,22,30,5,8,True,38,2
OPUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,21.192935797599976,6,100.0,32,50,7,1,True,54,3
