Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
RAYUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,16,8,8,11,False,72,4
RAYUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,38,16,11,9,False,24,4
RAYUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,30,10,5,6,True,58,6
RAYUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,4,62,10,5,True,76,1
RAYUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,26,46,6,1,False,60,7
RAYUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,28,58,8,1,False,58,6
RAYUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,10,76,1,4,True,74,4
RAYUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,12,70,4,11,False,80,8
RAYUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,8,60,2,7,True,68,5
RAYUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,4,56,2,11,False,78,6
RAYUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,10,42,7,2,False,50,2
RAYUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,12,46,1,2,False,42,9
RAYUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,6,78,11,1,True,46,4
RAYUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,8,48,3,3,True,74,3
RAYUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,36,68,10,10,True,44,8
RAYUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,32,78,10,4,True,56,2
RAYUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,12,60,9,10,True,52,4
RAYUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,26,78,11,2,False,76,9
RAYUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,20,72,1,7,False,72,9
RAYUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,32,12,4,6,True,36,3
RAYUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,12,72,6,7,True,48,6
RAYUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,4,52,11,3,True,54,3
RAYUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,22,22,9,7,False,84,8
RAYUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,26,16,5,6,True,54,2
