Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
RAYUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,12,4,9,7,False,36,9
RAYUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,10,76,5,11,False,28,6
RAYUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,4,14,7,2,False,42,7
RAYUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,34,76,11,2,True,54,1
RAYUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,12,10,9,3,False,48,7
RAYUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,36,26,1,4,False,72,7
RAYUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,28,64,5,11,False,42,4
RAYUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,10,18,6,10,False,36,1
RAYUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,8,10,10,11,True,60,3
RAYUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,12,64,5,4,True,46,6
RAYUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,20,14,3,6,False,74,4
RAYUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,8,36,10,5,True,32,2
RAYUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,6,36,10,1,False,60,2
RAYUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,12,50,6,8,True,48,1
RAYUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,38,54,5,4,False,68,1
RAYUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,24,62,8,10,False,30,8
RAYUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,28,24,11,1,True,40,8
RAYUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,14,12,6,8,True,56,8
RAYUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,8,48,10,7,True,60,5
RAYUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,10,66,6,1,False,74,7
RAYUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,12,48,8,5,True,70,2
RAYUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,12,30,10,5,False,78,9
RAYUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,36,60,6,11,True,66,1
RAYUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,22,70,1,10,False,80,6
