Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
SEIUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.6497116556000049,4,75.0,12,48,7,11,True,60,2
SEIUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.916231150000039,5,60.0,16,8,7,1,True,84,4
SEIUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-1.1815272660000486,7,71.42857142857143,16,66,3,1,True,60,4
SEIUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,7.659953872400038,6,66.66666666666666,36,42,9,3,True,64,3
SEIUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,11.338958938800015,10,70.0,28,10,10,1,True,78,4
SEIUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.505541285599989,1,0.0,10,32,1,7,True,70,2
SEIUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.0635512376000023,15,60.0,22,70,6,2,False,30,2
SEIUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-14.337348940800043,15,53.333333333333336,22,70,6,1,False,28,3
SEIUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.653303207600068,41,65.85365853658537,10,30,8,1,False,36,3
SEIUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.954926907199985,13,53.84615384615385,14,36,11,5,False,58,2
SEIUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.1010275547999937,40,67.5,10,36,7,6,True,42,4
SEIUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-12.164920512000021,28,50.0,10,76,3,3,False,56,2
SEIUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.623495673599984,1,100.0,4,46,10,5,False,76,2
SEIUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.3850909499999675,19,52.63157894736842,4,62,4,10,True,30,2
SEIUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.637786246000041,24,79.16666666666666,30,44,8,1,True,28,6
SEIUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.554428820000032,10,40.0,38,68,9,5,False,84,4
SEIUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.689287002400075,7,71.42857142857143,32,58,10,6,False,48,4
SEIUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.3682073731999589,5,80.0,28,76,11,8,False,80,5
SEIUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5742243883999798,12,50.0,38,50,10,2,False,42,2
SEIUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.350021638399947,8,75.0,30,54,11,1,True,46,5
SEIUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.415830516000029,6,83.33333333333334,28,68,8,10,False,78,2
SEIUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.098355324799983,16,75.0,34,60,8,6,False,60,2
SEIUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.534095796799977,30,73.33333333333333,32,56,2,1,False,58,4
SEIUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.540290913600026,15,80.0,34,76,5,1,False,58,3
