Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
SOLUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-14.974210487999995,1,0.0,37,40,8,3,True,68,2
SOLUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.8169981840000062,5,60.0,21,26,8,2,True,68,2
SOLUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.453045168000048,7,57.14285714285714,31,32,1,1,True,66,2
SOLUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-8.061537287999998,3,33.33333333333333,37,46,3,2,True,62,2
SOLUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.154343231999928,19,84.21052631578947,29,46,7,1,False,52,4
SOLUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,29.538977960000047,5,80.0,27,32,5,3,True,66,2
SOLUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.343730243999978,3,66.66666666666666,33,32,4,1,True,66,3
SOLUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-14.217407339999955,38,81.57894736842105,33,26,2,2,True,50,2
SOLUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.868668887999961,12,75.0,25,22,2,3,True,64,2
SOLUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,8.798801996000027,7,85.71428571428571,23,38,3,3,True,64,2
SOLUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-6.02786382799999,4,50.0,19,28,2,1,True,66,3
SOLUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.1067163439999823,5,60.0,17,44,9,1,True,56,5
SOLUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.692629484000088,11,90.9090909090909,29,30,5,3,True,60,5
SOLUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-1.1641652160000016,27,62.96296296296296,23,34,7,9,False,66,5
SOLUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,6.756866355999924,25,96.0,23,48,1,2,True,58,9
SOLUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-15.086888787999996,2,0.0,23,24,3,4,True,68,4
SOLUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.3925785039999852,38,63.1578947368421,27,20,8,5,False,78,5
SOLUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-12.660641823999995,3,33.33333333333333,17,20,11,11,True,70,2
SOLUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.1838675839999535,20,75.0,25,20,3,5,True,60,5
SOLUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.5376720319999926,4,75.0,15,42,11,5,True,62,4
SOLUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.8114107160000854,35,91.42857142857143,37,22,3,1,True,56,8
SOLUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.4731558999999672,30,83.33333333333334,37,46,3,1,True,48,4
SOLUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,40.74119476000002,18,94.44444444444444,32,34,4,1,True,60,3
SOLUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.007802440000054,14,71.42857142857143,24,16,1,2,True,66,2
