Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
SOLUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-10.280268900000012,1,0.0,17,22,5,3,True,70,2
SOLUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.435188167999984,2,0.0,27,50,7,1,True,54,2
SOLUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.6144185639999984,2,50.0,39,38,5,1,True,58,3
SOLUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-5.177990663999987,1,0.0,31,28,1,5,True,66,2
SOLUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.786315840000029,7,85.71428571428571,19,34,2,7,True,60,2
SOLUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,11.073112444,10,80.0,23,24,7,1,False,42,2
SOLUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.567339519999991,5,60.0,15,52,6,1,False,26,2
SOLUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.322946411999998,2,0.0,15,22,2,9,True,64,2
SOLUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-6.465637668000013,3,33.33333333333333,21,22,8,1,True,64,2
SOLUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.205571651999972,13,76.92307692307693,19,38,2,1,False,62,2
SOLUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.198914387999998,19,84.21052631578947,19,50,1,1,False,30,2
SOLUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-9.387976752000016,8,50.0,25,52,2,1,False,66,2
SOLUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.4248920440000257,5,60.0,39,24,9,11,True,52,3
SOLUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.9013220440000413,9,66.66666666666666,21,34,5,3,False,30,2
SOLUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,5.987627799999973,10,100.0,17,32,5,1,True,50,3
SOLUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-13.707658687999992,3,33.33333333333333,37,24,3,4,True,62,2
SOLUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,15,52,10,1,False,60,3
SOLUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,7.2788484480000415,6,100.0,25,40,9,1,True,40,2
SOLUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.3177096240000195,5,60.0,31,44,8,1,False,24,3
SOLUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,4.218415163999989,9,88.88888888888889,39,30,5,1,False,54,2
SOLUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.5606025960000149,2,100.0,25,44,8,4,True,24,2
SOLUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.773662559999988,5,40.0,23,34,11,1,False,38,2
SOLUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,8.06112600000002,4,75.0,18,68,5,5,False,78,1
SOLUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-3.1872213999999843,3,66.66666666666666,34,68,2,6,True,56,1
