Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
SUIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,41.609516607999964,18,88.88888888888889,23,20,6,1,True,56,3
SUIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.774715823999996,3,33.33333333333333,25,26,11,10,True,66,2
SUIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.31236342399996175,9,33.33333333333333,33,26,10,4,True,54,2
SUIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.8012783208000585,19,84.21052631578947,21,24,5,1,True,54,3
SUIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.7260565327999577,11,63.63636363636363,19,42,6,6,True,50,2
SUIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,28.666369751200026,5,100.0,19,40,10,1,True,58,3
SUIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-14.7246478708,3,66.66666666666666,27,26,11,1,True,66,5
SUIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.2602562324000246,4,50.0,25,52,9,1,True,56,3
SUIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-7.642008473600004,2,0.0,37,44,7,3,True,58,3
SUIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-5.680857499200032,8,25.0,27,40,9,11,True,30,2
SUIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.7726480591999652,4,50.0,15,52,11,6,False,26,3
SUIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.6134020643999825,9,88.88888888888889,29,38,1,7,True,60,9
SUIUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.334607321600001,5,20.0,35,52,8,4,False,68,3
SUIUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-5.6542120143999846,6,50.0,39,50,9,5,False,34,3
SUIUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.30684572959995826,4,75.0,21,54,11,2,False,72,3
SUIUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.2224348647999936,6,66.66666666666666,37,54,4,7,True,54,3
SUIUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,4.384014463999986,11,100.0,39,44,6,1,False,72,6
SUIUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,10.753069171200003,16,87.5,35,28,10,1,False,38,5
SUIUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,7.970150277599974,14,85.71428571428571,21,38,7,1,False,34,4
SUIUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.876195512000068,9,88.88888888888889,33,30,10,1,False,24,3
SUIUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,8.005577642399974,13,84.61538461538461,37,24,11,1,False,24,3
SUIUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.398016592399977,3,33.33333333333333,23,24,8,9,True,70,2
SUIUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,39.801326902,8,100.0,14,44,8,3,True,58,2
SUIUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-0.7290283919999974,1,0.0,12,30,9,8,True,66,2
