Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
TRXUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.8612787228400198,3,66.66666666666666,19,44,5,2,True,66,3
TRXUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.3729223671600232,6,66.66666666666666,17,38,5,6,True,66,3
TRXUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.543729951640006,4,75.0,24,44,6,5,True,66,7
TRXUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.7893518946400233,7,85.71428571428571,18,62,1,5,True,64,5
TRXUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.5023616454000188,2,50.0,12,14,5,1,True,82,3
TRXUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.919458996800008,1,0.0,38,48,6,10,True,66,2
TRXUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.19845093867999486,7,71.42857142857143,20,30,5,6,True,68,2
TRXUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.1226536743999915,1,0.0,10,58,4,2,True,64,3
TRXUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.986166631119989,1,0.0,34,76,9,1,True,82,9
TRXUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.08330724648002441,1,0.0,34,70,6,10,True,84,6
TRXUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,30,68,8,3,True,70,1
TRXUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,32,64,7,1,False,72,1
TRXUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.9066265360800028,1,0.0,32,46,7,7,True,80,9
TRXUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.7907122499200447,4,75.0,28,34,11,8,True,70,9
TRXUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.2951315700800112,2,0.0,8,46,3,1,True,68,6
TRXUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.13978993556,2,0.0,4,30,5,6,True,72,3
TRXUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.1843929052399744,11,90.9090909090909,4,72,4,1,True,62,9
TRXUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.2355170426400006,2,0.0,34,70,4,3,True,62,5
TRXUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.1488456520799994,2,0.0,34,36,1,3,True,70,5
TRXUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.3930123074400216,3,66.66666666666666,6,22,4,2,True,74,7
TRXUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-1.0281036885600003,5,80.0,26,48,9,11,True,62,3
TRXUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.7467055182000193,8,87.5,38,64,1,3,True,64,7
TRXUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,20.802401060240005,9,88.88888888888889,16,76,2,6,True,64,3
TRXUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-0.2205740084800012,6,66.66666666666666,38,36,1,6,True,66,3
