Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
TRXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.7489354794000045,4,75.0,27,46,1,7,True,60,3
TRXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.3157753870800084,2,50.0,17,52,5,5,True,58,4
TRXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.367980300560002,7,85.71428571428571,19,22,4,2,True,66,6
TRXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.21174585788002,6,83.33333333333334,10,20,8,2,True,70,6
TRXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-2.84128568280001,3,66.66666666666666,18,16,6,9,True,72,2
TRXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.5598379952000005,1,0.0,18,22,2,3,True,68,2
TRXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.5875209786800228,2,50.0,36,38,1,7,True,66,2
TRXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-5.915835920479973,17,52.94117647058824,14,14,6,11,False,56,2
TRXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,6,74,8,11,True,24,3
TRXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.4572915156800028,1,0.0,36,50,2,8,True,84,9
TRXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.2623176833599925,1,0.0,16,12,9,9,True,84,7
TRXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.7754210788800009,1,0.0,34,22,6,9,True,78,4
TRXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8001337096000372,3,66.66666666666666,36,66,1,5,True,60,7
TRXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.318014531000001,9,77.77777777777779,8,6,8,1,True,82,7
TRXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.8804337861599842,2,100.0,26,58,5,7,True,56,3
TRXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.2888417590799728,3,33.33333333333333,22,14,1,1,True,76,5
TRXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.6923769551199777,8,75.0,8,78,3,1,True,56,6
TRXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.803206178240003,1,0.0,8,16,5,1,True,72,4
TRXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.3730963574399948,2,0.0,30,18,2,1,True,70,4
TRXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.1787760545999939,7,71.42857142857143,10,20,3,7,True,66,8
TRXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.5662385816400328,4,75.0,4,14,9,2,True,74,4
TRXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.5451972566000052,2,50.0,12,32,10,4,True,62,3
TRXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.554772183279978,7,85.71428571428571,16,24,1,4,True,66,3
TRXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.6271988318400172,2,50.0,20,12,9,1,True,76,4
