Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
UNIUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-9.868315640000036,5,60.0,39,32,10,1,True,62,3
UNIUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.188317183999937,8,62.5,10,24,4,7,True,64,2
UNIUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.937358284000016,5,80.0,26,58,9,1,True,58,3
UNIUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,31.592222491999998,11,81.81818181818183,24,24,7,1,True,66,3
UNIUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,32.47269921999993,28,96.42857142857143,18,58,2,1,True,54,4
UNIUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-12.906361807999966,4,50.0,12,12,4,1,True,76,5
UNIUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.954079044000002,15,86.66666666666667,32,54,9,1,False,62,2
UNIUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-24.008129431999958,15,73.33333333333333,12,30,11,1,True,52,2
UNIUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.516852691999952,7,42.857142857142854,20,72,8,1,False,26,2
UNIUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-5.684734167999972,13,61.53846153846154,22,12,9,1,True,68,3
UNIUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.193850344000059,34,79.41176470588235,36,56,3,2,False,28,2
UNIUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.3017963840000415,32,78.125,18,50,5,2,False,48,3
UNIUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.1460234439999892,57,71.9298245614035,10,54,3,6,False,34,2
UNIUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.34035886799993476,62,64.51612903225806,10,24,6,6,False,84,9
UNIUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-6.875234215999903,60,55.00000000000001,10,44,3,6,False,78,2
UNIUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.703518799999998,3,33.33333333333333,4,42,9,8,True,58,2
UNIUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.709957395999929,21,76.19047619047619,36,36,9,2,True,34,4
UNIUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.801019287999961,6,50.0,4,76,6,7,True,38,2
UNIUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.7054020599999933,5,60.0,22,64,10,1,False,50,2
UNIUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.3963645680000294,17,88.23529411764706,26,48,8,5,False,40,5
UNIUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.0209316999999736,9,88.88888888888889,26,74,7,1,True,44,3
UNIUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.34645876399999054,4,75.0,16,70,5,3,True,58,8
UNIUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,15.365909528000055,6,66.66666666666666,20,56,7,4,True,60,2
UNIUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,52.38282138399997,7,85.71428571428571,16,28,8,2,True,68,2
