Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
UNIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-8.119707784000019,10,50.0,17,26,6,1,False,80,2
UNIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.879012864000032,5,60.0,38,54,3,1,True,26,2
UNIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,20,70,6,1,False,32,2
UNIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,51.673729447999975,7,85.71428571428571,12,22,5,1,True,62,2
UNIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,14.79377291599997,9,88.88888888888889,30,44,2,1,True,50,2
UNIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.5885820559999866,11,72.72727272727273,38,72,1,11,False,78,2
UNIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.7840000680000014,6,83.33333333333334,30,44,5,1,False,82,2
UNIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.4631336840000637,16,75.0,38,26,1,1,True,32,2
UNIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.2183428480000646,21,80.95238095238095,4,8,10,2,True,56,2
UNIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.3606075800000283,7,57.14285714285714,28,26,10,11,False,46,2
UNIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.3777509399999683,10,60.0,28,38,4,1,False,28,2
UNIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-8.113256192000007,7,71.42857142857143,32,34,6,1,False,84,2
UNIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.8545764000000067,1,0.0,14,62,2,11,True,56,5
UNIUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,9.029003359999987,1,100.0,24,74,7,1,True,52,3
UNIUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.4846016759999756,3,66.66666666666666,18,64,2,1,True,52,7
UNIUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.366496640000001,3,33.33333333333333,32,26,3,2,True,60,5
UNIUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.064619716000049,9,88.88888888888889,18,50,2,7,True,56,4
UNIUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,8.066817780000001,3,66.66666666666666,36,44,1,6,True,58,2
UNIUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.4934560039999822,3,33.33333333333333,8,66,5,10,True,46,2
UNIUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,4.540994551999988,5,80.0,20,58,5,4,True,46,2
UNIUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,8.118842504000012,5,100.0,6,52,4,4,True,56,3
UNIUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-5.0644013679999595,6,66.66666666666666,20,32,1,7,True,58,3
UNIUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.327039568000026,7,71.42857142857143,6,70,2,2,True,56,3
UNIUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.26690811200002,6,83.33333333333334,38,76,1,3,True,56,2
