Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
WLDUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-9.04106012239998,2,0.0,23,30,4,6,True,62,2
WLDUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.070444104800022,3,33.33333333333333,23,32,4,1,True,60,3
WLDUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.4548413679999825,4,75.0,18,32,6,1,True,58,6
WLDUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,45.81691400520005,13,92.3076923076923,12,6,5,3,True,78,3
WLDUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.9373363788000244,15,80.0,36,10,5,1,True,54,2
WLDUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.148397983999999,1,0.0,26,28,3,2,True,62,3
WLDUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-9.804944691599992,5,60.0,16,26,6,1,True,58,4
WLDUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.730848497999977,4,25.0,32,6,4,6,True,80,2
WLDUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.1693455503999584,13,84.61538461538461,30,26,2,1,False,28,2
WLDUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.209167812800028,16,75.0,8,76,1,2,True,46,2
WLDUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.6627380916000014,10,60.0,8,18,7,5,True,56,3
WLDUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.9571908275999546,5,60.0,38,20,9,1,True,50,5
WLDUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.6901640155999607,17,82.35294117647058,20,20,5,1,True,36,4
WLDUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-4.654137754400011,6,66.66666666666666,20,28,11,1,True,38,3
WLDUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,16,58,9,1,False,70,3
WLDUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.7554988088000822,9,55.55555555555556,22,36,11,10,False,36,2
WLDUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.9684104488000287,5,60.0,32,34,10,4,False,70,3
WLDUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.3603263899999662,4,75.0,18,50,8,1,False,26,4
WLDUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.2059648144000077,15,80.0,12,24,6,1,True,40,3
WLDUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.8774511523999884,5,60.0,12,50,7,1,False,30,4
WLDUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,5.754114657999954,18,72.22222222222221,26,8,8,1,True,48,3
WLDUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,5.606835640800001,23,82.6086956521739,10,20,7,11,False,78,2
WLDUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,16.079560953599948,18,66.66666666666666,14,16,7,1,True,34,2
WLDUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.566507876399966,15,80.0,12,22,6,9,False,58,2
