Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
XRPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.5862232840000101,5,40.0,39,54,6,1,True,60,3
XRPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.198691964800039,14,78.57142857142857,27,36,9,1,True,52,5
XRPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.6898796307999517,24,83.33333333333334,29,34,6,1,True,50,5
XRPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.892212503600013,31,87.09677419354838,33,40,8,4,True,46,3
XRPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.00690819680001,13,92.3076923076923,31,50,9,1,True,50,4
XRPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,8.18848661080005,17,88.23529411764706,27,42,8,1,True,52,4
XRPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.5906260935999996,7,57.14285714285714,23,54,9,5,True,52,3
XRPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-5.955495402800026,9,88.88888888888889,35,52,11,1,True,52,3
XRPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.5964621311999041,14,78.57142857142857,21,48,10,1,True,38,3
XRPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.749278565600032,14,64.28571428571429,39,24,9,1,True,56,4
XRPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.829300758800013,16,75.0,21,48,6,2,True,52,3
XRPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.5120264552000662,16,75.0,39,46,4,1,True,52,9
XRPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.128775847199992,12,83.33333333333334,27,50,1,4,True,56,6
XRPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.583378805600005,12,66.66666666666666,21,52,7,2,True,52,5
XRPUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.8738414964000425,12,83.33333333333334,39,40,11,1,True,54,7
XRPUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-8.610774907600005,5,60.0,23,40,10,2,True,62,8
XRPUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.3677429523999418,14,85.71428571428571,39,54,7,1,False,28,6
XRPUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.3756373011999834,2,50.0,39,50,8,9,True,62,6
XRPUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.6838524703999713,11,81.81818181818183,35,52,10,1,True,44,6
XRPUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-8.699510315600001,3,66.66666666666666,29,42,10,2,True,64,6
XRPUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.2655597775999663,16,81.25,35,36,11,1,False,62,4
XRPUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.493879056000047,20,80.0,39,54,7,2,False,24,4
XRPUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,3.7480151131999984,3,66.66666666666666,38,68,11,1,True,28,3
XRPUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,34.641293426400054,8,100.0,26,62,2,1,True,62,5
