Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
XRPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.1417169859999854,3,66.66666666666666,35,46,4,7,True,52,2
XRPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.252329197199979,3,0.0,33,38,5,1,True,50,3
XRPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.4953065315999927,6,66.66666666666666,15,44,6,5,False,52,2
XRPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.6185278912000158,3,33.33333333333333,23,44,7,6,True,44,3
XRPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.1975618335999583,7,71.42857142857143,27,20,10,1,False,76,3
XRPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.19504717080003342,4,75.0,35,38,9,2,False,44,3
XRPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.071685050799977,11,81.81818181818183,33,38,3,6,False,68,2
XRPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-11.789041451200033,3,66.66666666666666,31,52,6,2,False,72,3
XRPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.3875066091999955,8,75.0,29,42,3,2,False,58,3
XRPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.2527152752000328,11,72.72727272727273,31,28,5,2,False,58,3
XRPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.5739840931999556,13,84.61538461538461,35,34,5,11,True,42,2
XRPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.742244443600029,7,42.857142857142854,25,38,5,10,False,66,2
XRPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.1217828908000502,8,87.5,25,48,5,4,False,38,2
XRPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-7.846655137599989,3,0.0,27,46,6,2,False,72,2
XRPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.1434019103999455,5,80.0,17,38,8,1,True,54,9
XRPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.136085086799982,3,33.33333333333333,35,38,8,1,True,54,8
XRPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.190364246800013,4,75.0,23,22,9,2,True,62,6
XRPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.4331632864000077,1,0.0,17,42,4,6,True,58,5
XRPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.4293815424000007,5,80.0,21,22,3,6,True,62,6
XRPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.7906161912000025,3,66.66666666666666,17,28,6,9,True,60,3
XRPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.417027721599995,4,75.0,15,48,7,2,True,54,8
XRPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.17675119839999365,3,66.66666666666666,15,44,11,2,True,40,2
XRPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,15.70496484239996,28,82.14285714285714,12,12,4,11,False,60,2
XRPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,31.88658856800004,10,90.0,22,6,2,3,True,80,2
