Symbol,Target Timeframe,Score,Initial Capital,Final Value,Profit,ROI (%),Sharpe Ratio,Sortino Ratio,Max Drawdown,Win Rate
OMUSDT,15min,272.59004931780413,10000,50774.11922605597,40774.11922605597,407.74119226055967,2.8647910564963674,5.33911716379234,-0.1953140171823352,0.5235457063711911
ONDOUSDT,15min,256.93292593644856,10000,44680.54261248008,34680.54261248008,346.8054261248008,2.3349295730267845,4.1167993028723195,-0.3165575799659235,0.5416666666666666
OMUSDT,1H,248.9107628225132,10000,51755.41776778399,41755.41776778399,417.5541776778399,3.2576508693162283,5.87706555055519,-0.1799745149288009,0.5493827160493827
OMUSDT,30min,236.11955361845065,10000,34006.69610217202,24006.69610217202,240.06696102172018,2.2789184622101217,3.8436952291919155,-0.1967931274057525,0.5361111111111111
ONDOUSDT,30min,231.3250654147645,10000,45377.797342079946,35377.797342079946,353.7779734207994,2.388509969571827,4.137620338084838,-0.2816260695048075,0.5338541666666666
ONDOUSDT,1H,205.3111892469647,10000,31897.99112320001,21897.99112320001,218.97991123200006,1.9109545663446628,3.2912488604461663,-0.2751889065127705,0.5224274406332454
JTOUSDT,30min,187.9517352096156,10000,39158.20044976,29158.20044976,291.5820044976,2.7178749212986175,4.299974141908898,-0.24794680451126438,0.589873417721519
ARKMUSDT,1H,156.7180045876143,10000,29751.956108840095,19751.956108840095,197.51956108840093,2.003847779046298,2.9633272431012925,-0.28916663880407967,0.6299212598425197
JTOUSDT,1H,151.44637469706325,10000,32038.58676415999,22038.58676415999,220.3858676415999,1.8591964602625892,2.8821874720531238,-0.31095834628781427,0.554726368159204
PENDLEUSDT,30min,149.83600415826714,10000,17692.065134319997,7692.065134319997,76.92065134319998,0.9866593172387097,1.4336395238210247,-0.4116699761285806,0.5247524752475248
ARKMUSDT,30min,143.11595732086917,10000,16916.722343799986,6916.7223437999855,69.16722343799987,1.0392900106763925,1.4898548030401657,-0.3302375072978666,0.5696517412935324
ENSUSDT,30min,140.40704019625318,10000,23703.01097039996,13703.010970399959,137.03010970399959,1.2269482751743046,2.1557099327542044,-0.3577057297887596,0.5816831683168316
SUIUSDT,15min,137.40306457299644,10000,20761.96049896002,10761.96049896002,107.61960498960019,1.2724505299240698,2.0903094299588276,-0.39951739289277477,0.4900990099009901
SUIUSDT,30min,136.34095422977396,10000,25288.91310004003,15288.91310004003,152.8891310004003,1.5146689607228832,2.3504019328915557,-0.4382420221370126,0.5272277227722773
XMRUSDT,1H,131.29763460986263,10000,35435.59049200001,25435.59049200001,254.3559049200001,1.9012577428302717,2.682222407271098,-0.3292917228177441,0.6105527638190955
1000FLOKIUSDT,1H,127.46646318893396,10000,24298.807544503987,14298.807544503987,142.98807544503987,1.692645950497862,2.726292014254457,-0.23903172664359995,0.5880758807588076
ARKMUSDT,15min,127.458998790345,10000,23380.023672199997,13380.023672199997,133.80023672199997,1.1993355235810608,1.755088215975016,-0.48799934992849947,0.5495049504950495
1000FLOKIUSDT,15min,126.02062736699138,10000,15173.364835715967,5173.364835715967,51.733648357159666,0.8060034234275408,1.152582078941991,-0.35438836926401074,0.5445544554455446
XRPUSDT,30min,125.63750428076337,10000,18585.45330663999,8585.453306639989,85.85453306639988,2.0567560638652083,3.2859816020647075,-0.08787793108110764,0.6133333333333333
ENSUSDT,1H,123.375182503606,10000,27392.874840800025,17392.874840800025,173.92874840800025,1.4696673645811698,3.0530054273899507,-0.24709304173420743,0.5824742268041238
AAVEUSDT,15min,123.26206092110962,10000,29326.02193600005,19326.02193600005,193.2602193600005,1.2865165423327736,1.9285817430097205,-0.3731650372352655,0.5555555555555556
1000PEPEUSDT,30min,121.74848763041447,10000,21986.821608872415,11986.821608872415,119.86821608872415,1.2120740911719647,1.983483390519789,-0.3676649976572435,0.5445544554455446
WIFUSDT,30min,121.74262061165548,10000,17190.031077479976,7190.031077479976,71.90031077479976,1.0739538304336795,1.6388304209836393,-0.3718539240768647,0.5726256983240223
PENDLEUSDT,1H,118.57043465696135,10000,29123.612089840004,19123.612089840004,191.23612089840003,1.61490874114703,2.641731283750701,-0.38657164885910444,0.5126262626262627
TIAUSDT,15min,116.70159274804676,10000,20499.900853319996,10499.900853319996,104.99900853319997,1.5831131446488866,2.3671744009089792,-0.2031594534490404,0.5597014925373134
1000PEPEUSDT,1H,116.41480754334704,10000,30525.423993120836,20525.423993120836,205.25423993120836,1.6272509661482166,2.6735069274783987,-0.2499613000828098,0.5201005025125628
1000PEPEUSDT,15min,116.05205176807746,10000,24538.17941104774,14538.179411047739,145.3817941104774,1.321451887073194,1.9709732822515513,-0.4007580241669305,0.6
SOLUSDT,1H,114.7821190551494,10000,25750.769669600002,15750.769669600002,157.507696696,2.287796219359631,3.154716487325601,-0.1873262955794489,0.6486486486486487
JASMYUSDT,1H,114.16304294129188,10000,19530.608765877605,9530.608765877605,95.30608765877605,1.4304654591278265,2.22257941554805,-0.23263659246296153,0.5972222222222222
ICPUSDT,30min,113.77760771242907,10000,18961.979529200034,8961.979529200034,89.61979529200035,1.60221292626855,2.2629374797731883,-0.18894960619966095,0.5894206549118388
AGLDUSDT,1H,113.14606033288072,10000,19032.40159995995,9032.40159995995,90.32401599959951,1.0180844240845786,2.1013523122073563,-0.210620064738686,0.6215469613259669
WIFUSDT,1H,112.33343057042156,10000,27394.140364760013,17394.140364760013,173.94140364760014,1.7699075001920266,3.1637347828312894,-0.21274857237195854,0.5916955017301038
FETUSDT,30min,111.66755512048918,10000,16968.20120035996,6968.201200359959,69.6820120035996,1.2670849336293848,1.7787121621911615,-0.4031985913098487,0.5631578947368421
BELUSDT,1H,111.34454382116692,10000,20447.35429027998,10447.354290279982,104.47354290279982,1.276905692604421,1.812705082548164,-0.46522478349706853,0.5685785536159601
SOLUSDT,15min,111.10615078987158,10000,24263.440164799977,14263.440164799977,142.63440164799977,1.2301628788866692,1.7928500024658056,-0.36061227870114143,0.5851851851851851
XRPUSDT,15min,110.32643045766643,10000,13051.985877919982,3051.985877919982,30.519858779199822,0.8890131445798005,1.293922849117035,-0.17025061254012364,0.5707196029776674
COTIUSDT,1H,110.22227507654216,10000,22815.137923308008,12815.137923308008,128.1513792330801,1.9455501840865572,2.9053507683615245,-0.17136605401257166,0.6346153846153846
SUIUSDT,1H,110.05511145965067,10000,17545.619990799987,7545.619990799987,75.45619990799987,1.1619449579753314,1.7596950265738887,-0.4345089551451643,0.5319693094629157
NEARUSDT,30min,109.44058205398176,10000,15940.995955199971,5940.995955199971,59.40995955199971,1.0185047680582358,1.3881479545514652,-0.2913691889966561,0.6115288220551378
1000BONKUSDT,15min,107.85636815173665,10000,13838.017852706005,3838.017852706005,38.38017852706005,0.6558118296737526,0.9857436646081069,-0.32612855307964905,0.5160493827160494
ETHFIUSDT,30min,106.56375108531093,10000,16773.20509044004,6773.2050904400385,67.73205090440038,1.1953241435052544,1.764858204409484,-0.26929034139081354,0.5875
RSRUSDT,1H,106.21072343704748,10000,14627.942494338802,4627.942494338802,46.27942494338802,0.7366062205480441,1.1379722157945493,-0.390612904480626,0.4925373134328358
AAVEUSDT,1H,104.49544465537146,10000,25835.035911999967,15835.035911999967,158.35035911999967,1.2945604721745394,1.918709452169628,-0.3558776273082991,0.5591939546599496
TIAUSDT,30min,104.4423011986411,10000,18748.486144599963,8748.486144599963,87.48486144599963,1.4537274485070488,2.084474012486947,-0.27985199369938274,0.5768261964735516
ARUSDT,30min,103.32360122671254,10000,23580.38116679996,13580.381166799962,135.8038116679996,1.6253611648608206,2.2614288658993282,-0.3000409838464465,0.6191860465116279
WLDUSDT,30min,103.25252091326612,10000,15316.824620000001,5316.824620000001,53.16824620000001,0.9592373839234994,1.2867341558812586,-0.2635344678777425,0.5833333333333334
XLMUSDT,15min,100.646408328289,10000,10461.606673803995,461.60667380399536,4.616066738039954,0.23474407635595945,0.38911653495464,-0.27539373733431716,0.5111111111111111
1000FLOKIUSDT,30min,100.3008638138795,10000,17233.398042076005,7233.398042076005,72.33398042076006,1.1126034486336571,1.7239046001462408,-0.2805747788312227,0.5902061855670103
DOGEUSDT,30min,98.84820046182897,10000,14373.016309292008,4373.016309292008,43.73016309292008,1.0123814165538827,1.4762474365297802,-0.21268676816392196,0.5848563968668408
ICPUSDT,1H,98.53393298083584,10000,20451.518874400004,10451.518874400004,104.51518874400006,1.9327465398220687,2.797396277692392,-0.19059013661205404,0.61731843575419
