Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
1000PEPEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.942665044854619,2,50.0,19,4,2,4,10,10,18,49,50,7,37,5,4,17,True
1000PEPEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.4088644883802734,3,66.66666666666666,17,3,6,6,6,22,28,27,60,11,33,5,2,9,False
1000PEPEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.7793109654699277,3,66.66666666666666,18,4,3,7,5,24,28,49,80,7,28,5,2,8,True
1000PEPEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,16.321742825460596,12,100.0,19,3,5,5,5,16,33,27,80,7,28,5,2,17,False
1000PEPEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,15.913902445182583,5,80.0,17,4,3,4,12,18,34,47,140,13,31,5,4,11,False
1000PEPEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-7.394084400852008,2,50.0,18,2,3,3,13,21,33,27,130,16,37,5,3,8,False
1000PEPEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.9628173894202896,5,80.0,14,1,5,3,10,14,23,35,80,11,36,5,2,12,True
1000PEPEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.0459297887269745,1,0.0,16,3,3,3,7,11,20,25,50,15,38,5,6,19,False
1000PEPEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,11.794120745367543,8,87.5,19,1,7,4,6,23,33,33,70,7,36,3,7,7,True
1000PEPEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.5665499069659408,10,90.0,17,4,2,8,6,10,23,29,110,10,37,5,2,11,True
1000PEPEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,12.995075299984027,13,92.3076923076923,19,2,2,4,8,23,26,41,50,12,36,2,4,6,True
1000PEPEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.896899790839272,1,0.0,15,2,6,4,8,15,20,41,50,11,30,4,3,13,True
1000PEPEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,4.987648967726832,2,50.0,13,4,7,3,10,19,17,39,130,19,30,5,7,12,True
1000PEPEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-11.716449894092074,1,0.0,19,2,2,3,13,21,17,43,140,12,26,4,4,15,True
1000PEPEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.6968280415969863,1,100.0,16,3,7,6,8,10,15,33,90,20,31,5,4,10,False
1000PEPEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-24.205182113397417,1,0.0,15,1,4,9,13,13,27,29,70,9,26,5,2,17,True
1000PEPEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.7105321604397714,3,100.0,16,4,3,8,12,12,22,43,70,9,21,3,2,15,False
1000PEPEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,4.979810192042922,4,100.0,19,3,2,4,13,20,31,39,110,15,24,2,3,18,True
1000PEPEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.3390570090398697,2,100.0,19,2,5,5,10,10,33,37,80,20,27,4,7,17,True
1000PEPEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.303721296852367,1,0.0,18,3,3,3,5,16,17,43,120,14,22,5,4,18,True
1000PEPEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,10.455287326154373,6,83.33333333333334,17,3,3,9,7,15,25,27,190,11,39,4,6,19,True
1000PEPEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.9091643288781315,2,50.0,19,4,7,9,9,20,33,47,130,12,20,5,5,6,True
1000PEPEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.9174235010927845,1,100.0,14,3,6,6,5,21,22,49,150,14,28,5,6,13,True
1000PEPEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,12.49723462271195,5,100.0,17,2,3,3,9,16,27,39,100,8,30,5,5,19,True
