Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
1000PEPEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.8894485201251845,2,50.0,False,14,4,4,3,12,15,31,37,110,14,39,5,True
1000PEPEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.6559304472616017,1,0.0,False,19,3,2,6,6,11,26,25,90,15,36,5,True
1000PEPEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.18943900846722,2,100.0,False,18,2,5,3,11,22,17,45,90,14,39,3,False
1000PEPEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,9.501441811722767,3,100.0,False,19,3,2,5,5,12,17,31,90,13,39,4,False
1000PEPEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.863144353324362,1,100.0,False,19,1,2,3,8,18,15,49,90,13,39,4,True
1000PEPEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.5830626031799966,2,50.0,False,16,3,4,6,5,20,29,37,70,11,37,3,False
1000PEPEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.752718094603568,3,66.66666666666666,False,13,3,2,3,7,21,19,45,70,9,38,2,False
1000PEPEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,False,18,2,2,7,9,12,24,49,190,18,34,3,True
1000PEPEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.7532055508484126,2,100.0,False,16,2,3,3,8,11,28,39,190,7,24,2,False
1000PEPEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.674116961445582,6,83.33333333333334,False,15,2,2,3,10,23,25,39,60,7,36,3,True
1000PEPEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.3517342395976026,2,50.0,False,19,2,5,7,6,14,23,45,60,7,27,1,True
1000PEPEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,7.572745947213644,2,50.0,False,16,1,5,3,7,12,22,43,120,7,24,5,False
1000PEPEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.2834592701572278,1,0.0,False,18,1,3,9,14,21,34,39,190,16,36,3,True
1000PEPEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.1381608128295815,3,100.0,False,13,3,2,6,11,10,19,31,100,19,37,4,True
1000PEPEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.632659588506404,2,50.0,False,15,4,3,3,13,13,24,41,60,16,36,5,False
1000PEPEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,False,19,2,6,4,9,15,33,39,190,15,34,4,False
