Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
1000SHIBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.9702985745962178,1,0.0,18,2,2,5,9,24,17,43,130,8,37,5,3,8,False
1000SHIBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.6532009365067055,1,0.0,18,2,2,3,6,11,30,25,190,8,31,5,3,11,False
1000SHIBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.126391267774098,3,66.66666666666666,17,3,2,4,7,22,31,49,130,7,38,5,2,12,False
1000SHIBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.7787465064850396,2,50.0,19,3,2,4,9,17,27,31,100,8,32,5,2,18,True
1000SHIBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,10.445494753466145,5,80.0,17,1,2,9,7,15,20,47,130,10,24,5,2,15,True
1000SHIBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-2.1311161285715197,2,50.0,18,4,4,6,9,14,31,45,60,10,28,5,7,18,True
1000SHIBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.377579321345946,3,66.66666666666666,17,2,5,5,5,12,28,31,80,18,38,4,2,13,True
1000SHIBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.6665155502708853,1,0.0,19,1,5,6,13,17,34,37,110,7,27,5,2,13,False
1000SHIBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.7637636138637798,1,0.0,19,4,5,6,5,19,34,29,50,7,36,5,4,9,True
1000SHIBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.3381278985290743,4,75.0,17,2,5,6,14,14,26,29,110,8,35,4,2,9,True
1000SHIBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,4.030865505209147,8,87.5,19,4,4,5,7,20,28,29,90,8,30,3,2,18,True
1000SHIBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.7659003209218649,3,66.66666666666666,12,3,4,8,12,13,28,37,70,18,26,4,3,10,True
1000SHIBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.6738277448133507,3,100.0,19,4,2,8,10,16,18,25,50,17,23,3,2,17,False
1000SHIBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.0738653064063426,2,100.0,18,2,2,7,8,12,16,41,70,19,26,2,3,7,True
1000SHIBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.0348201960380683,4,100.0,16,3,6,5,7,23,24,41,100,13,24,5,2,18,True
1000SHIBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,6.259903963129365,3,100.0,18,4,4,6,10,14,28,35,100,17,22,5,3,12,True
1000SHIBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,14,1,5,5,5,11,34,49,60,19,23,2,7,11,False
1000SHIBUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.36436790814073916,1,100.0,18,1,4,3,5,23,21,43,170,16,21,3,2,8,False
1000SHIBUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,15,4,4,8,8,11,23,33,120,14,21,5,2,12,False
1000SHIBUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.8374395313238256,1,100.0,12,4,4,5,8,23,15,47,70,16,22,2,3,18,False
1000SHIBUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.3550956451058767,5,100.0,14,4,4,7,8,16,20,47,180,8,24,5,2,17,True
1000SHIBUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,4.459242117652029,2,50.0,18,4,3,4,5,10,30,35,170,11,25,4,2,11,True
1000SHIBUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,10.284853720941944,6,100.0,19,1,4,4,7,15,27,41,160,7,20,3,3,19,True
1000SHIBUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,10.322828499132708,3,100.0,18,2,6,3,5,18,21,31,180,8,27,5,5,11,True
