Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
1000SHIBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.805645858131968,2,50.0,False,18,1,3,6,11,17,30,47,140,12,36,5,False
1000SHIBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.1677706072479754,2,50.0,False,19,3,3,9,12,24,30,39,110,7,28,2,False
1000SHIBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.9559725055880097,1,100.0,False,16,1,3,6,6,14,25,31,110,16,38,2,True
1000SHIBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.3146604657199745,2,50.0,False,17,2,7,4,5,21,21,41,100,16,39,2,False
1000SHIBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.3183204893120082,1,0.0,False,19,2,6,6,9,20,18,41,120,8,26,2,False
1000SHIBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.6962690537919989,1,0.0,False,17,3,3,3,7,22,15,33,100,19,35,3,False
1000SHIBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.0141009529320186,1,0.0,False,18,1,3,6,13,15,20,33,60,18,35,3,True
1000SHIBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.2882888578760188,1,100.0,False,18,1,4,6,5,15,27,37,90,14,39,1,True
1000SHIBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.650212736223969,4,100.0,False,18,1,4,3,6,17,23,47,90,12,39,1,False
1000SHIBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.1461896185800198,1,100.0,False,16,3,2,9,6,12,22,27,100,15,39,1,False
1000SHIBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.12634512107997375,4,75.0,False,19,1,4,9,11,24,24,25,80,11,38,1,True
