Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
AAVEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.5231873247369743,2,50.0,19,2,3,3,13,14,16,49,140,13,35,5,3,18,True
AAVEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.176698154668703,1,0.0,19,3,3,4,12,23,23,31,180,7,26,5,4,12,True
AAVEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-2.6334504227255473,1,0.0,16,2,2,4,5,23,21,35,60,13,32,4,2,6,True
AAVEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.027647930206779,2,100.0,19,4,3,5,6,22,28,33,160,15,34,5,4,13,True
AAVEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.717631078075171,10,90.0,18,2,6,6,5,22,17,49,170,11,35,5,2,7,True
AAVEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.584893404453815,2,50.0,17,1,4,3,7,16,29,31,120,15,38,5,4,15,True
AAVEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.8569644322074215,3,100.0,19,2,5,7,10,12,19,47,140,12,27,5,3,13,True
AAVEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-20.389630630256317,2,50.0,18,3,4,4,7,24,22,25,90,8,24,4,2,14,True
AAVEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.6644059252257306,1,0.0,19,3,2,4,9,21,20,45,70,10,25,4,4,10,True
AAVEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.8202921734239643,1,0.0,17,2,3,6,8,23,23,39,180,12,34,4,6,8,False
AAVEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.0966094311346986,7,85.71428571428571,14,4,3,4,5,13,22,27,90,18,35,1,7,10,False
AAVEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.3715433456129373,2,50.0,14,3,7,6,14,17,26,41,50,17,35,5,2,8,True
AAVEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.0866563765871806,1,100.0,8,1,6,3,14,15,29,27,120,17,30,5,2,10,True
AAVEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.6850171608228992,1,100.0,14,2,5,8,8,18,18,37,180,19,37,2,3,8,False
AAVEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.0821561246114664,1,0.0,16,2,4,7,6,10,16,25,120,11,31,4,2,5,False
AAVEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.333028080354341,9,88.88888888888889,15,3,4,4,5,12,18,37,90,15,34,5,2,18,False
AAVEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.2075180228320548,4,75.0,17,3,3,6,7,17,30,29,110,19,37,5,2,7,True
AAVEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,5.964647156648062,3,66.66666666666666,19,3,6,4,11,18,30,31,50,12,39,5,5,19,True
AAVEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,4.497757873852248,3,100.0,16,1,5,9,9,14,30,31,80,10,30,5,6,15,True
AAVEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.0027916890766773,2,50.0,17,1,3,5,13,14,25,31,110,15,39,5,3,7,False
AAVEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,3.0837936554153123,5,100.0,18,3,5,5,5,14,29,37,190,7,25,5,2,10,False
AAVEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-6.999349221932993,2,50.0,19,2,3,4,5,24,25,35,180,19,32,4,4,16,False
AAVEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,10.580724165699685,11,90.9090909090909,18,2,5,6,5,21,20,31,70,15,37,5,2,7,True
AAVEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.858488907583919,9,100.0,19,3,6,6,6,20,15,49,100,8,36,4,2,7,False
