Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
ADAUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.254381024367814,1,0.0,19,1,2,6,5,11,28,45,50,15,37,5,6,5,True
ADAUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.136261943630959,1,0.0,18,1,3,5,5,23,16,29,170,11,36,3,2,6,False
ADAUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.90045378906565,3,66.66666666666666,18,4,7,7,5,14,19,47,90,8,29,5,3,11,True
ADAUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.5041862347199277,4,75.0,19,2,4,4,5,11,21,45,190,7,34,4,2,19,False
ADAUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.758319231441345,6,83.33333333333334,17,4,4,5,5,21,25,41,130,19,36,4,3,19,False
ADAUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-2.641850046487837,2,50.0,17,3,3,3,7,12,17,29,190,7,29,4,2,17,False
ADAUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.8707666845804622,1,0.0,16,3,3,3,8,12,29,27,130,12,29,4,5,8,True
ADAUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.16321380126628,2,50.0,19,4,3,6,12,12,34,35,100,7,26,4,2,13,True
ADAUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.6650913955413,1,0.0,19,4,2,4,9,22,32,37,110,9,28,3,4,9,True
ADAUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.925258757732707,3,66.66666666666666,18,3,3,4,9,24,30,33,140,11,31,4,4,17,True
ADAUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.00158861099048,1,0.0,18,4,6,7,6,22,18,25,140,11,36,5,6,15,True
ADAUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.19231025084356368,1,0.0,5,3,4,3,6,13,18,43,110,18,23,4,6,10,True
ADAUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.695932963671031,3,66.66666666666666,5,2,7,3,10,22,18,37,110,19,32,3,7,8,True
ADAUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.2462564698698673,3,100.0,13,2,7,3,13,24,19,31,190,15,26,5,2,18,True
ADAUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.7810457241196564,7,85.71428571428571,18,3,3,4,12,23,22,45,150,11,24,1,2,11,True
ADAUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.378258003595368,1,0.0,17,2,2,4,9,20,30,45,190,11,24,1,7,7,False
ADAUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0418622575052883,1,100.0,17,1,5,3,5,21,29,27,60,17,26,5,2,18,True
ADAUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.342857232702844,3,100.0,18,3,4,5,11,19,29,43,190,9,20,4,2,12,True
ADAUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.5127971886464326,1,100.0,19,1,5,6,6,20,26,49,140,16,24,4,3,10,False
ADAUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.7802561575637217,1,0.0,19,1,7,6,5,24,15,39,60,14,23,4,3,18,False
ADAUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.528369266454054,1,100.0,17,3,4,6,12,15,24,41,80,12,20,5,3,16,False
ADAUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.29710707692305327,1,100.0,15,1,5,8,6,21,21,29,150,13,20,3,2,6,False
ADAUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,19,1,5,4,10,17,33,39,80,16,24,2,5,16,True
ADAUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.80964360027452,5,100.0,19,1,3,9,8,21,18,39,70,8,30,4,4,17,False
