Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
ADAUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.652307069600025,2,50.0,False,18,2,2,6,5,17,24,33,50,14,37,5,False
ADAUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.8813452223999763,2,50.0,False,17,2,2,5,10,22,32,33,110,10,30,4,True
ADAUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.012986188399981,1,100.0,False,19,2,2,3,11,17,34,49,100,9,28,4,True
ADAUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.47039245440001487,2,50.0,False,19,4,5,5,5,11,19,35,100,9,26,2,False
ADAUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.5964312288000206,2,50.0,False,17,2,6,8,12,16,33,41,90,7,24,5,True
ADAUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.369060482400001,1,0.0,False,19,2,3,7,11,17,21,49,50,14,36,5,True
ADAUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.36559324400001,2,50.0,False,14,3,2,3,6,11,31,31,70,9,36,2,False
ADAUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.681204755999982,1,0.0,False,16,1,2,4,9,18,33,41,100,7,35,2,True
ADAUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.151228140000038,1,0.0,False,10,3,3,3,10,19,15,49,60,7,39,2,True
ADAUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.3730650772000077,2,50.0,False,13,3,6,4,7,23,31,33,80,19,39,1,True
ADAUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.260528252800012,1,0.0,False,14,3,3,3,14,17,15,29,50,7,38,2,False
ADAUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,False,5,2,6,7,8,21,23,25,180,20,22,5,False
ADAUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,17,3,6,7,6,15,21,47,130,20,22,4,True
ADAUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.9366896264000113,3,100.0,False,19,2,2,4,8,18,29,25,50,12,28,1,False
ADAUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.0519444343999993,2,50.0,False,18,1,5,6,6,22,34,41,80,18,35,2,True
ADAUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.1163812680000005,1,0.0,False,18,1,3,3,5,10,23,35,50,16,33,2,True
ADAUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5395741304000001,1,100.0,False,19,4,6,3,6,21,33,39,60,13,29,1,False
ADAUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.9397433808000066,2,100.0,False,18,4,4,9,13,23,22,31,70,9,21,2,False
ADAUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.8178571448000271,1,100.0,False,17,2,6,3,10,10,19,25,70,13,27,2,False
ADAUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.4770832808000067,2,50.0,False,19,1,2,9,13,16,20,37,190,19,33,1,False
ADAUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,19,2,5,6,8,23,26,33,90,13,27,1,False
ADAUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.12000153679998515,2,50.0,False,18,4,5,4,8,20,16,37,130,15,28,1,True
ADAUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,15,1,2,8,13,14,33,29,180,15,29,1,True
ADAUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.1670781624000055,3,100.0,False,16,1,5,6,6,19,15,43,60,11,39,1,True
ADAUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,1.8355254211999794,2,50.0,False,16,1,4,7,6,19,27,49,60,8,36,4,False
ADAUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-3.332379982400002,1,0.0,False,19,2,2,5,11,20,23,27,60,12,33,5,False
ADAUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.4735242316000319,1,0.0,False,16,2,6,6,10,15,16,45,60,14,36,5,False
ADAUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.3942948888000064,1,100.0,False,16,3,5,5,11,12,32,37,80,14,31,2,True
ADAUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-17.3211162496,1,0.0,False,16,3,6,8,5,17,33,49,80,10,30,3,True
ADAUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.106998016799987,3,66.66666666666666,False,19,3,7,4,5,23,20,31,60,9,31,3,False
ADAUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-2.278599370400003,1,0.0,False,13,2,2,3,14,19,26,27,190,11,30,3,True
ADAUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.5108974248000164,2,50.0,False,16,3,4,7,9,22,18,43,120,8,33,2,True
