Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
APTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.948467340000008,2,100.0,False,19,3,5,3,11,24,17,41,50,8,34,5,True
APTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.806800876000006,1,100.0,False,19,1,3,3,6,11,19,43,130,18,39,5,True
APTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.6547760640000195,1,0.0,False,13,3,3,4,6,12,27,39,90,14,32,5,False
APTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.311528759999981,2,50.0,False,16,2,6,6,6,17,29,37,70,8,33,3,True
APTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.023676463999993,2,50.0,False,14,3,2,3,10,16,18,49,70,11,39,5,True
APTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,12.100858560000027,4,100.0,False,19,3,3,3,13,13,32,27,60,12,39,3,True
APTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-11.664910903999992,1,0.0,False,19,3,3,6,7,12,24,31,60,11,38,4,True
APTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.544406235999991,1,0.0,False,19,3,2,9,11,11,28,27,90,13,37,5,False
APTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.210671064000016,1,0.0,False,19,2,2,7,8,13,18,41,60,8,31,5,True
APTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.581374307999985,2,50.0,False,12,1,5,3,5,15,23,37,70,10,38,3,False
APTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.05806804000001442,3,66.66666666666666,False,16,2,2,4,6,10,22,49,140,10,37,1,False
APTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.7702963040000075,6,83.33333333333334,False,11,1,6,6,7,20,32,37,120,12,38,1,True
APTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.026016295999966,3,100.0,False,17,1,2,5,13,14,16,39,50,15,36,1,True
APTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.0608478400000028,1,100.0,False,17,3,3,3,7,13,19,31,80,19,36,2,False
APTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.1311012640000007,2,50.0,False,18,2,5,7,10,22,33,45,180,19,36,2,False
APTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.654940940000017,1,0.0,False,18,2,6,6,13,22,18,39,60,18,36,2,False
APTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.4712085639999817,2,100.0,False,18,2,2,6,11,15,19,35,80,11,22,1,False
APTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,False,18,2,4,9,7,17,17,37,170,13,23,2,False
APTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.2374921280000173,1,100.0,False,17,1,3,6,5,21,20,45,170,14,31,3,True
APTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.8712662351999976,3,100.0,False,19,1,2,8,8,21,31,47,60,10,30,1,True
APTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,18,1,6,3,9,17,30,47,180,15,36,3,False
APTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.8980132511999943,1,0.0,False,18,1,2,3,11,10,30,29,70,7,36,3,False
APTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.617474546000056,3,100.0,False,19,3,3,3,10,11,27,39,60,7,39,4,False
APTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,7.920031694000018,4,100.0,False,17,4,2,3,6,21,32,33,50,8,38,4,True
APTUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,2.8728118647999956,2,50.0,False,16,1,2,5,5,15,27,39,80,9,38,5,False
APTUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-23.8440615216,1,0.0,False,17,1,2,3,6,18,17,33,50,10,39,5,True
APTUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,4.765015946799989,2,50.0,False,16,4,6,7,7,18,30,29,60,7,38,5,False
APTUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.5024418272000073,1,100.0,False,18,4,5,9,8,18,27,37,50,15,30,3,False
APTUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-6.627047767600002,1,0.0,False,16,4,6,7,9,15,17,41,70,9,36,5,True
APTUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.785579837200003,1,100.0,False,12,3,2,5,6,22,34,33,170,9,23,4,False
APTUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,4.699459257199989,1,100.0,False,19,2,4,6,5,24,28,47,180,10,25,3,False
APTUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,12,2,2,6,12,20,30,39,170,7,35,1,True
