Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
APTUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.170972712035259,2,50.0,19,2,3,3,7,23,22,39,50,7,37,5,7,17,True
APTUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.595054982871713,1,0.0,17,1,3,3,6,11,29,37,100,11,38,5,6,10,True
APTUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.022317612416736,2,50.0,19,1,6,6,5,23,29,45,90,7,35,4,4,8,False
APTUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.8909742258570672,1,0.0,17,1,4,4,13,19,25,49,50,13,33,4,6,12,True
APTUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.4001143889985,5,80.0,16,1,7,4,6,11,31,31,60,9,32,5,7,9,False
APTUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.376964574472858,11,100.0,17,3,2,3,11,11,32,47,70,12,39,5,2,8,True
APTUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-18.42864578985487,1,0.0,19,3,3,4,11,23,19,37,70,8,38,5,2,16,False
APTUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.6688366015588,1,0.0,19,1,3,3,10,22,26,35,90,13,38,3,3,8,True
APTUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.086830690217247,1,0.0,19,3,3,4,5,20,31,49,60,9,35,3,4,11,True
APTUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.7889941330779813,1,0.0,19,3,6,3,6,15,23,35,50,9,37,2,2,17,True
APTUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.26291564416007773,3,66.66666666666666,6,1,7,6,5,16,16,27,70,11,36,3,4,7,True
APTUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.3715242795569034,1,0.0,10,3,7,6,8,11,25,25,130,7,38,4,7,11,True
APTUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3884733786795991,1,0.0,5,4,7,6,7,10,25,27,160,10,39,4,5,16,False
APTUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.135892905867732,4,100.0,14,3,3,8,11,23,23,29,170,11,23,1,5,6,True
APTUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.503806036628851,2,100.0,13,4,4,5,5,19,22,37,80,18,31,1,4,19,True
APTUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-6.261987347023023,1,0.0,19,4,3,3,11,11,25,33,60,20,39,1,7,12,False
APTUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,16,4,5,5,8,21,18,33,120,13,20,4,3,6,True
APTUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.287656218472776,1,100.0,11,3,7,8,8,22,26,45,160,16,23,5,2,13,True
APTUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.5641623574147454,2,50.0,15,1,3,5,11,11,32,47,50,12,36,5,3,15,True
APTUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.8109915013357023,2,100.0,15,2,3,9,7,14,33,45,150,14,31,4,3,16,False
APTUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.134414414558994,2,50.0,15,1,4,7,8,14,16,33,80,19,38,5,3,10,True
APTUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.971717379891527,1,0.0,19,3,3,4,5,18,20,47,60,7,27,4,5,7,True
APTUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,8.777847279257834,6,83.33333333333334,19,1,2,3,5,18,29,45,100,7,29,5,3,12,True
APTUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.414351858037051,9,100.0,18,1,2,4,9,14,23,33,70,12,37,2,5,5,True
