Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
ARBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.013954425599976,2,50.0,False,15,1,3,4,7,19,29,41,90,8,36,5,False
ARBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.308736655199988,1,0.0,False,18,3,3,3,6,14,21,41,60,13,39,4,False
ARBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.8432085883999934,1,100.0,False,18,2,2,8,6,22,22,33,110,8,27,5,False
ARBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-2.727589179199985,1,0.0,False,19,1,2,5,6,13,22,31,80,10,39,4,False
ARBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.330858991999986,3,66.66666666666666,False,19,1,5,5,11,23,34,49,100,18,36,4,True
ARBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.355077653200006,1,0.0,False,19,2,2,8,10,20,29,37,50,18,39,3,True
ARBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.030234904799997242,3,66.66666666666666,False,16,3,5,3,6,21,18,33,100,11,38,1,False
ARBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.7972231200000124,3,100.0,False,18,1,3,7,9,10,27,47,110,20,38,1,False
ARBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,False,19,2,4,5,14,13,30,37,190,20,26,5,False
ARBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9193277795999997,1,100.0,False,18,2,6,9,6,15,22,33,170,20,26,5,True
ARBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,19,1,3,6,5,17,30,43,180,20,26,5,True
