Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
ARBUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.805790042587436,9,88.88888888888889,19,3,3,8,12,23,25,37,60,8,34,4,3,8,True
ARBUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-12.206707051444443,1,0.0,19,1,4,7,8,24,24,27,50,9,38,5,4,14,True
ARBUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.71653141599837,2,50.0,19,3,6,5,6,18,15,37,70,7,29,3,5,5,False
ARBUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-3.4532062213098236,2,50.0,19,2,2,9,6,19,23,27,50,7,34,3,3,8,True
ARBUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.1026837346012073,3,66.66666666666666,17,3,2,4,5,22,28,33,180,8,20,5,6,16,False
ARBUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-11.542638530039916,2,50.0,15,3,2,3,5,13,24,47,70,14,33,3,5,17,True
ARBUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.9695356807309707,2,50.0,17,3,2,4,5,16,29,29,190,16,35,5,3,14,False
ARBUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.636012140396666,1,0.0,14,4,5,3,5,10,21,39,100,7,38,2,5,16,False
ARBUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,16,4,6,6,10,10,21,29,170,17,23,5,4,18,True
ARBUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.5280023212435037,1,100.0,19,1,7,8,10,19,34,47,60,19,26,3,2,6,True
ARBUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.4432934369539407,1,0.0,14,4,5,3,5,10,21,31,90,16,24,4,4,16,True
ARBUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,3.5320505466396535,2,100.0,17,4,2,3,5,12,31,29,190,11,20,5,3,19,True
ARBUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.14213470574138132,2,50.0,5,4,7,3,5,22,22,37,150,19,29,2,2,9,True
ARBUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.7268842145558025,2,100.0,18,2,6,6,10,20,33,35,90,18,26,2,2,18,True
ARBUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.286080303360393,3,66.66666666666666,18,4,3,4,9,12,28,39,160,15,36,2,3,14,True
ARBUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.1373759858592791,2,100.0,19,1,2,4,5,24,29,41,90,16,20,5,2,16,True
ARBUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,15,4,4,3,7,24,21,27,70,20,24,5,4,12,True
ARBUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7268930858658207,1,100.0,18,3,2,5,7,21,33,45,170,17,22,5,4,13,True
ARBUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5441120430934809,1,100.0,16,4,5,7,9,20,32,33,50,18,24,5,3,14,False
ARBUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.4375483986639237,1,0.0,19,1,3,3,14,23,16,43,70,19,26,2,6,16,False
ARBUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,19,1,4,3,10,20,34,35,140,18,24,2,2,9,True
ARBUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.7995741775868268,4,75.0,17,4,5,8,12,17,29,47,170,12,35,1,5,18,True
ARBUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.2948113835076205,1,100.0,13,2,6,4,5,20,19,39,190,15,29,5,2,15,True
ARBUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.040900815750657,2,100.0,19,3,7,8,10,22,23,29,190,10,27,5,4,16,True
