Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
ATOMUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.04783942,2,100.0,False,19,2,2,8,9,21,15,47,80,8,27,4,False
ATOMUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.0589825839999705,1,0.0,False,16,1,2,3,6,17,28,39,50,8,37,5,False
ATOMUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.908627631999992,1,100.0,False,18,3,3,8,13,22,32,49,70,8,29,5,True
ATOMUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.681195467999966,2,50.0,False,19,2,2,7,11,17,30,29,80,9,29,4,True
ATOMUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.348550831999984,2,50.0,False,19,1,4,4,10,10,26,43,100,17,35,4,False
ATOMUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.9178383039999867,3,66.66666666666666,False,18,1,3,3,11,23,25,33,120,20,37,3,True
ATOMUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.042348295999998,1,0.0,False,19,2,2,8,11,20,28,37,70,14,31,3,False
ATOMUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.2020264759999844,4,100.0,False,16,2,3,3,10,24,33,25,70,13,39,1,False
ATOMUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.3847330880000035,1,100.0,False,17,2,6,8,8,10,15,31,50,12,37,5,False
ATOMUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,17,3,7,3,11,11,31,25,160,15,21,1,True
ATOMUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,18,4,3,8,8,22,18,25,70,14,21,1,True
