Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
AVAXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.7359941080000265,5,80.0,False,14,4,2,3,10,11,24,45,130,10,38,1,False
AVAXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.9549050960000258,1,0.0,False,14,3,2,3,11,18,25,37,50,7,37,5,False
AVAXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.183545800000042,4,75.0,False,18,4,2,8,6,18,26,27,50,8,35,1,False
AVAXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.7736328720000074,2,100.0,False,19,2,4,4,12,24,30,33,110,13,31,2,False
AVAXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.1707243280000048,2,50.0,False,18,2,4,7,9,19,24,47,190,7,24,3,False
AVAXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.4998480480000067,1,100.0,False,19,3,5,7,5,21,20,41,180,7,25,2,True
AVAXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.1290720159999896,1,0.0,False,12,4,4,4,5,10,16,31,60,7,38,4,False
AVAXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.636814880000005,1,0.0,False,19,4,5,5,9,15,22,47,90,8,38,5,False
AVAXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.7065051999999765,2,100.0,False,14,3,2,3,7,19,30,47,80,7,35,1,False
AVAXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.31884868400003,3,66.66666666666666,False,11,4,2,3,12,13,32,25,70,10,37,2,False
AVAXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,19,1,5,3,5,18,21,29,150,20,33,1,False
AVAXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.6000631919999999,1,0.0,False,10,1,2,9,7,17,31,43,90,15,28,1,False
AVAXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6144789199999945,2,100.0,False,15,2,7,5,8,16,23,45,90,14,23,1,True
AVAXUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.882266448000002,1,100.0,False,16,2,2,3,9,22,24,45,130,16,34,1,False
AVAXUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.519318183999995,1,100.0,False,19,2,3,9,12,24,32,43,100,13,24,1,True
AVAXUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-5.60227215200001,1,0.0,False,15,2,2,9,5,11,21,27,100,17,37,1,True
AVAXUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,19,4,3,4,6,22,34,33,80,18,26,1,True
AVAXUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,False,17,4,3,3,14,14,21,33,140,11,22,2,True
AVAXUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.8288835960000185,2,100.0,False,19,4,2,5,11,24,22,49,90,15,32,2,False
AVAXUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.6333032239999268,5,100.0,False,18,1,3,3,11,15,17,31,120,8,26,1,False
AVAXUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,18,3,2,6,8,22,30,27,130,15,33,1,False
AVAXUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.262744443999978,2,50.0,False,12,1,7,3,6,11,23,27,160,7,32,3,False
AVAXUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,18,3,3,4,10,24,18,41,100,14,31,1,False
AVAXUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.0459529159999814,2,100.0,False,16,2,5,9,7,17,34,39,90,8,38,3,True
AVAXUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,6.704994143999965,2,100.0,False,19,2,2,4,13,16,21,33,150,9,39,4,True
AVAXUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-12.167767691999998,1,0.0,False,14,3,2,3,7,16,19,25,60,7,37,5,False
