Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
AVAXUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-5.518662022888876,2,0.0,19,2,2,4,6,22,19,25,60,8,36,4,5,10,True
AVAXUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.2048241575840066,1,100.0,19,2,2,7,7,17,18,25,80,16,39,1,4,5,False
AVAXUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.160122456827176,3,66.66666666666666,17,1,2,5,6,12,27,31,50,7,37,3,5,10,False
AVAXUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-3.6205751667380492,2,50.0,16,1,6,6,6,14,21,41,50,8,38,5,5,16,False
AVAXUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,18,1,3,7,8,11,32,45,120,15,26,5,3,14,False
AVAXUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,12.085753717578118,11,100.0,17,2,4,3,14,21,25,43,100,15,39,1,7,6,False
AVAXUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-6.89321495515256,1,0.0,18,1,5,3,5,10,26,33,100,7,34,5,5,7,False
AVAXUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.604091617223858,1,0.0,19,4,4,3,8,15,25,33,150,7,35,5,7,15,False
AVAXUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.6504366271250985,1,100.0,15,1,3,3,11,14,28,41,100,12,38,5,4,14,False
AVAXUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.1404143535333597,3,66.66666666666666,16,4,2,4,5,16,16,27,130,9,38,2,6,13,True
AVAXUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.4484444412729447,7,85.71428571428571,19,1,3,8,10,23,26,39,170,9,38,1,3,11,False
AVAXUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.28916999856124503,1,0.0,15,2,7,9,11,15,27,33,80,19,22,3,4,19,False
AVAXUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.4205503465415594,2,100.0,9,2,2,3,14,24,22,45,140,19,26,4,2,9,True
AVAXUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.5291825380365776,1,0.0,14,2,2,3,9,15,34,49,110,11,33,1,6,7,False
AVAXUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-1.2148707066373055,2,50.0,16,1,6,6,5,16,22,45,100,12,26,1,2,8,True
AVAXUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.961242569398349,3,66.66666666666666,19,1,2,3,13,23,34,37,160,9,25,1,3,17,False
AVAXUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.2287395909386536,1,100.0,16,3,6,9,14,19,24,43,150,15,26,1,3,9,False
AVAXUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,16,2,5,7,11,13,23,39,160,16,27,1,7,8,False
AVAXUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.9895166106208997,2,100.0,11,2,2,3,5,17,33,41,150,9,22,2,2,17,True
AVAXUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.32229193513699794,1,0.0,13,4,2,6,11,17,33,33,160,7,31,4,4,17,True
AVAXUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,13,1,2,9,7,10,16,31,140,13,29,3,4,17,True
AVAXUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.341204293093648,1,0.0,11,2,5,5,8,15,21,31,70,10,37,5,2,19,False
AVAXUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.4475570278031915,2,100.0,18,4,4,3,5,11,31,25,190,11,32,1,5,16,True
AVAXUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,13.825230067165295,5,80.0,19,4,4,5,5,20,21,37,60,7,38,5,4,11,True
