Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
BNBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.1425239961601514,3,66.66666666666666,18,1,4,4,5,23,23,33,160,13,34,4,4,19,False
BNBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.5118277433687313,1,0.0,19,1,3,3,5,20,18,49,160,8,21,4,5,13,False
BNBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.1985695787466,2,50.0,19,3,4,3,6,15,25,41,150,10,33,4,3,18,True
BNBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.3333447336792092,4,100.0,16,3,3,5,7,18,23,33,50,14,38,5,2,15,True
BNBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.849771693514885,4,100.0,19,1,2,7,5,18,22,25,60,11,28,4,4,14,True
BNBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,3.3634323492397478,3,66.66666666666666,19,1,6,5,5,17,31,43,100,7,37,5,2,11,True
BNBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.4912873604039163,2,50.0,19,1,5,4,5,19,28,33,80,8,23,5,3,8,False
BNBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.168768623771112,3,66.66666666666666,17,1,4,8,6,10,27,47,50,8,38,5,2,7,False
BNBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.657178549148841,1,0.0,19,2,2,7,10,23,33,31,90,14,38,5,4,13,False
BNBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.7449842842500387,1,0.0,19,2,5,7,6,11,32,37,120,7,34,5,4,15,False
BNBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.17040106630821228,1,0.0,19,3,7,8,6,18,17,43,60,11,35,5,4,13,True
BNBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.377747609052965,2,50.0,18,4,3,4,5,18,28,35,110,8,31,4,2,9,True
BNBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.2323451223865476,2,50.0,19,1,5,9,9,22,18,49,110,9,20,4,4,17,True
BNBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5225643307169126,1,0.0,15,3,3,6,12,18,34,41,90,14,25,5,2,18,False
BNBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.7213620582441349,3,100.0,14,1,5,7,6,23,22,39,90,10,21,1,4,14,False
BNBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.5909737571864655,4,100.0,9,1,3,6,8,14,23,31,150,15,21,4,2,17,True
BNBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.37584213352379603,5,80.0,5,4,4,4,5,17,34,31,190,7,21,2,2,13,False
BNBUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.10768810699177678,1,0.0,6,4,2,4,10,15,24,43,150,11,32,3,7,9,True
BNBUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.9598293066727104,3,100.0,16,2,2,3,7,15,16,29,130,13,23,5,2,6,False
BNBUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.8359873865924516,2,50.0,11,3,3,3,14,17,19,35,160,12,22,2,3,9,False
BNBUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.6314547179106622,2,100.0,15,1,4,4,8,19,23,47,70,12,22,4,2,16,False
BNBUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.016920159990442,2,50.0,13,2,2,9,13,17,26,45,70,16,38,5,2,19,True
BNBUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.7472555609369333,4,100.0,19,1,3,4,8,23,30,27,80,11,22,2,4,18,True
BNBUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.789474389458382,4,75.0,19,2,2,3,12,19,30,49,180,7,34,5,2,16,False
