Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
BNBUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.25385011999998763,1,0.0,False,19,2,2,4,11,13,28,45,70,7,33,5,False
BNBUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.0642042400000005,1,0.0,False,18,1,2,3,9,18,29,39,50,12,29,3,False
BNBUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.3570179199999801,2,50.0,False,13,4,2,3,10,14,15,33,60,8,31,2,True
BNBUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.3274307999999957,3,100.0,False,19,2,3,7,12,24,15,47,50,8,35,2,False
BNBUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.8865368000000373,2,100.0,False,19,3,2,3,12,24,15,43,50,7,33,2,True
BNBUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.127064520000003,2,50.0,False,19,2,4,4,7,23,22,25,60,10,37,5,True
BNBUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.8133567999999878,1,0.0,False,19,1,6,3,6,21,30,45,120,10,36,2,True
BNBUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.7071049200000132,2,50.0,False,19,2,2,4,8,22,31,45,50,8,38,2,False
BNBUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.054154400000007,4,100.0,False,19,1,7,4,14,22,32,37,140,8,39,1,False
BNBUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.22744128000000696,1,0.0,False,19,3,7,6,13,18,23,49,150,17,39,3,False
BNBUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.018566320000013015,1,0.0,False,18,3,4,4,7,16,21,41,140,8,39,2,False
BNBUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.1802131200000066,1,0.0,False,17,2,7,4,11,17,16,25,150,7,37,3,False
BNBUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.9649778800000064,1,0.0,False,19,1,2,4,5,12,34,37,160,11,39,1,True
BNBUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.863462320000008,2,100.0,False,12,1,7,3,8,20,15,29,100,7,36,1,False
BNBUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.27364636000002385,1,0.0,False,19,1,2,9,5,24,23,31,80,7,23,1,False
BNBUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.46608528000002813,1,100.0,False,13,3,3,3,9,22,20,47,160,8,30,1,False
BNBUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,5,4,2,6,11,17,27,49,90,15,27,5,False
BNBUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.2865003199999938,2,50.0,False,5,4,2,7,5,17,28,29,100,8,34,3,False
