Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
BTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,False,6,3,7,3,14,17,34,37,170,18,38,4,True
BTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,14,4,6,3,9,17,32,37,150,12,25,4,True
BTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,False,9,3,5,3,8,13,28,31,70,20,36,4,True
BTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,False,19,2,4,5,6,10,34,27,180,14,25,2,False
BTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,False,11,2,2,4,10,12,24,29,60,15,27,1,False
BTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,False,7,3,7,8,13,15,19,33,80,12,26,2,False
BTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,False,9,1,6,5,8,14,16,35,130,19,30,2,False
BTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,False,10,3,5,7,6,18,16,41,50,17,37,4,False
BTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,False,18,4,2,7,11,10,21,37,110,18,20,2,True
BTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,16,3,5,6,10,18,26,27,170,15,26,2,True
BTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,9,2,7,7,14,21,32,45,150,9,20,4,False
BTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,False,6,3,4,4,9,20,19,39,130,15,34,4,False
BTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,13,3,6,6,6,22,15,45,100,8,32,3,False
BTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,False,14,1,3,7,8,10,34,33,180,18,37,4,False
BTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,False,17,1,6,4,10,17,28,33,180,15,26,1,False
BTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,0.0,0,0,False,10,2,6,6,5,11,26,29,140,10,35,5,True
BTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,19,4,6,6,8,20,31,25,120,14,24,2,False
BTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,False,16,2,6,9,7,18,17,29,190,20,24,3,True
BTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,False,8,2,7,8,6,21,29,33,150,12,25,3,False
BTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,False,5,1,5,4,7,12,24,31,120,16,24,4,True
BTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,19,1,5,7,9,16,29,29,140,9,30,1,True
BTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.0,0,0,False,15,2,2,8,13,17,27,39,80,9,39,1,True
BTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,17,2,2,9,6,22,26,27,110,9,29,5,False
BTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,False,10,1,5,9,10,11,33,27,190,10,33,5,True
BTCUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.0,0,0,False,13,2,5,7,11,12,34,43,90,17,35,2,False
BTCUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.0,0,0,False,17,2,4,3,14,10,28,47,70,19,20,3,True
BTCUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,False,6,1,7,7,5,19,26,27,100,20,36,2,False
BTCUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,False,10,3,4,5,14,19,17,29,160,14,35,3,True
BTCUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.0,0,0,False,17,4,7,3,7,23,17,45,100,7,39,2,False
BTCUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,False,8,1,4,7,10,19,24,43,100,9,32,4,True
BTCUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,0.0,0,0,False,9,1,3,7,12,10,20,31,170,12,37,4,True
BTCUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,9,1,2,6,10,16,19,45,130,12,37,4,True
