Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
BTCUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.5312146297644453,3,66.66666666666666,18,1,2,4,12,13,27,37,70,10,33,4,4,13,True
BTCUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.7279616284447732,1,0.0,18,1,2,3,10,16,18,35,90,18,36,2,5,6,True
BTCUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.2334853839648607,1,100.0,19,2,2,6,11,13,32,43,50,8,28,2,2,18,True
BTCUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.6240985414379905,4,75.0,18,2,2,7,8,16,28,33,50,20,36,5,2,16,False
BTCUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.8969795681528447,1,100.0,19,2,2,4,9,13,15,39,130,16,32,3,3,15,True
BTCUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.8487033506949913,1,0.0,19,1,2,3,10,21,17,49,50,9,37,5,4,6,True
BTCUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.592289002924254,3,66.66666666666666,19,1,6,6,5,20,19,47,60,15,39,5,2,5,False
BTCUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.501627711752419,2,50.0,19,3,6,5,6,21,27,43,90,7,34,5,2,18,True
BTCUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.5294520779915564,2,50.0,18,3,4,6,6,14,34,39,70,11,37,4,2,13,True
BTCUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.7075132032597242,2,50.0,16,1,6,7,9,18,18,41,110,13,39,5,2,19,False
BTCUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.5734850359866539,1,0.0,19,1,6,6,5,12,19,41,140,12,38,4,2,19,False
BTCUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.124978462982007,3,100.0,18,1,2,9,10,23,19,27,120,14,27,1,3,11,False
BTCUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.03802949650364429,2,50.0,18,2,2,4,6,21,31,27,100,10,38,1,7,18,False
BTCUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.9989167015529432,3,100.0,19,3,6,6,10,13,16,43,160,8,20,1,7,6,False
BTCUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.3235382329424885,2,100.0,17,2,4,5,7,20,22,25,140,8,20,1,7,19,False
BTCUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.553997855917355,1,0.0,18,3,2,9,10,18,24,35,60,7,26,1,5,12,False
BTCUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,14,4,6,5,5,10,33,41,110,17,21,4,5,15,True
BTCUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,14,4,3,3,9,24,19,31,160,19,26,4,2,18,False
BTCUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.8660095125815559,1,100.0,17,3,4,3,10,11,17,35,140,19,25,5,5,7,False
BTCUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.2043813410386841,2,50.0,11,4,2,7,13,12,21,25,140,9,38,5,3,17,True
BTCUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.3580281504935288,1,100.0,14,3,6,7,11,14,25,31,90,12,32,4,5,14,True
BTCUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.3123180750276511,2,50.0,14,2,2,5,7,14,17,41,180,13,37,2,4,15,True
BTCUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.08032867945635402,1,0.0,19,1,5,4,7,10,17,27,180,18,38,2,5,16,True
BTCUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.9050357540043805,1,0.0,18,3,3,6,9,17,29,39,110,10,38,5,3,17,False
